Timestamp,Gender,Age,Educational level,Position Level in Organization,Years of Service,GRS1,GRS2,GRS3,GRS4,GTD1,GTD2,GDT3,GTD4,GTD5,GPA1,GPA2,GPA3,GPA4,GPA5,GPA6,GCM1,GCM2,GCM3,GCM4,FEP1,FEP5,FEP7,FEP9,GEE1,GEE4,GEE5,GEE6
2023/04/18 11:50:24 pm GMT+8,Female,31- 40years,High School Certificate,General Worker,1-3years,2,2,2,4,2,3,1,4,3,3,4,2,2,4,2,3,3,2,1,3,4,4,2,1,2,4,4
2023/04/18 11:56:01 pm GMT+8,Male,41- 50years,Diploma,Top Level Manager,1-3years,3,3,3,4,2,3,3,4,2,4,2,4,2,3,4,2,2,3,5,3,3,4,4,4,2,3,2
2023/04/19 9:36:38 am GMT+8,Male,31- 40years,Ph.D.,Middle Manager,1-3years,3,4,4,2,2,3,2,2,3,4,3,3,3,3,2,2,3,3,3,1,3,4,3,3,3,2,3
2023/04/19 10:59:01 am GMT+8,Male,31- 40years,Master's Degree,Top Level Manager,1-3years,4,4,4,4,4,3,5,5,3,3,4,5,4,5,4,3,3,4,5,2,5,2,5,4,5,5,4
2023/04/19 12:43:46 pm GMT+8,Female,20- 30years,Bachelor Degree,Middle Manager,1-3years,4,4,3,3,5,4,2,5,4,3,2,2,2,4,4,4,4,3,2,4,4,4,4,2,2,2,2
2023/04/19 1:43:00 pm GMT+8,Male,20- 30years,Bachelor Degree,Supervisor,1-3years,5,5,5,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,4,2,4,4,4,4,4
2023/04/19 2:12:55 pm GMT+8,Male,31- 40years,Master's Degree,Supervisor,1-3years,5,5,5,5,4,4,5,4,4,5,5,5,4,5,4,5,4,4,4,5,4,5,5,4,3,4,4
2023/04/19 4:15:53 pm GMT+8,Female,20- 30years,Diploma,General Worker,1-3years,5,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,2,4,5,4,4,4,4,4
2023/04/19 4:29:47 pm GMT+8,Male,20- 30years,Bachelor Degree,Supervisor,1-3years,4,3,4,4,4,3,4,4,4,5,4,5,4,3,3,4,4,4,3,4,4,3,4,4,3,4,4
2023/04/19 4:55:42 pm GMT+8,Male,20- 30years,Bachelor Degree,General Worker,3-5yaers,4,4,5,4,3,4,4,3,4,5,4,4,2,4,3,3,3,4,4,4,5,2,4,4,4,4,4
2023/04/19 5:25:17 pm GMT+8,Male,31- 40years,Bachelor Degree,Top Level Manager,More than 5years,1,1,1,2,1,3,2,3,2,1,2,1,3,1,1,1,2,1,3,4,2,2,1,3,1,1,3
2023/04/19 5:33:29 pm GMT+8,Male,31- 40years,Diploma,Middle Manager,1-3years,3,2,2,3,2,2,3,2,3,5,5,3,2,4,3,4,4,4,3,2,4,1,4,5,3,3,5
2023/04/19 5:54:17 pm GMT+8,Female,31- 40years,High School Certificate,Top Level Manager,More than 5years,3,4,3,3,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,4,4
2023/04/19 6:01:27 pm GMT+8,Female,20- 30years,Bachelor Degree,Supervisor,Less than a year,5,5,4,4,5,5,4,4,4,5,4,4,4,4,4,4,5,4,5,4,5,3,5,4,5,5,5
2023/04/19 6:04:33 pm GMT+8,Female,20- 30years,Ph.D.,Middle Manager,Less than a year,3,3,2,2,2,3,3,2,3,3,4,4,4,4,5,3,4,3,3,4,2,3,3,3,2,2,2
2023/04/19 6:18:24 pm GMT+8,Male,31- 40years,Master's Degree,Top Level Manager,3-5yaers,3,2,2,2,3,4,2,3,4,4,4,2,2,2,3,4,4,3,2,4,2,4,3,2,4,3,4
2023/04/19 6:31:00 pm GMT+8,Female,41- 50years,Diploma,General Worker,More than 5years,2,2,3,3,4,4,4,1,4,2,4,4,2,2,2,3,2,4,3,2,4,4,2,3,3,3,2
2023/04/19 6:34:02 pm GMT+8,Male,41- 50years,High School Certificate,Supervisor,More than 5years,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4
2023/04/19 6:36:30 pm GMT+8,Male,31- 40years,Diploma,General Worker,More than 5years,3,3,3,4,4,4,5,5,5,4,2,4,4,5,5,5,5,5,2,3,5,3,5,4,5,3,5
2023/04/19 6:39:22 pm GMT+8,Male,20- 30years,High School Certificate,General Worker,1-3years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5
2023/04/19 6:39:50 pm GMT+8,Male,20- 30years,Bachelor Degree,Top Level Manager,1-3years,3,2,3,1,3,4,2,3,3,2,2,4,2,2,2,4,1,2,3,5,2,1,1,4,2,3,3
2023/04/19 6:40:55 pm GMT+8,Female,20- 30years,High School Certificate,General Worker,1-3years,2,2,2,2,2,2,2,2,3,3,4,1,2,2,2,2,1,1,5,5,1,5,1,5,2,3,3
2023/04/19 6:42:45 pm GMT+8,Male,20- 30years,Diploma,General Worker,1-3years,4,5,3,4,3,3,4,4,3,4,3,5,4,4,3,3,4,3,3,1,3,3,3,3,5,4,4
2023/04/19 6:48:37 pm GMT+8,Male,20- 30years,Certificate,Supervisor,3-5yaers,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
2023/04/19 6:48:43 pm GMT+8,Male,20- 30years,Diploma,General Worker,3-5yaers,5,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,4,2,5,2,5,4,5,5,5
2023/04/19 6:51:27 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,1-3years,4,4,5,4,4,3,4,3,4,4,5,3,3,4,4,5,5,3,2,2,4,2,4,4,4,5,4
2023/04/19 6:53:48 pm GMT+8,Male,20- 30years,Bachelor Degree,General Worker,1-3years,5,3,3,5,3,4,4,5,5,5,5,2,4,4,4,4,3,3,3,1,5,4,4,3,5,5,4
2023/04/19 6:57:25 pm GMT+8,Female,31- 40years,Bachelor Degree,Middle Manager,3-5yaers,2,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,3,3,3,3
2023/04/19 6:59:04 pm GMT+8,Female,31- 40years,Bachelor Degree,Middle Manager,1-3years,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,3,3,3,5,3,4,3,3,1,3,1
2023/04/19 6:59:23 pm GMT+8,Male,31- 40years,Bachelor Degree,Middle Manager,More than 5years,1,1,2,1,2,3,1,1,2,1,3,2,2,1,1,3,2,3,3,5,3,4,2,2,2,4,3
2023/04/19 7:00:44 pm GMT+8,Female,31- 40years,Diploma,General Worker,3-5yaers,2,3,3,3,2,2,1,1,2,3,3,3,2,1,2,2,2,3,2,5,2,5,2,2,1,1,1
2023/04/19 7:02:59 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,1-3years,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4
2023/04/19 7:16:13 pm GMT+8,Male,20- 30years,Diploma,Middle Manager,1-3years,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,3,4,1,4,5,4,4,4
2023/04/19 7:28:21 pm GMT+8,Male,20- 30years,Diploma,Top Level Manager,1-3years,5,4,4,3,5,5,4,3,5,4,2,1,3,4,3,4,4,4,4,4,4,4,5,4,3,4,4
2023/04/19 7:37:39 pm GMT+8,Female,31- 40years,Diploma,Middle Manager,Less than a year,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,1,1
2023/04/19 7:38:24 pm GMT+8,Male,20- 30years,Diploma,Supervisor,1-3years,5,4,3,3,4,3,4,2,4,5,3,2,5,1,3,4,3,3,2,4,4,4,4,3,2,4,2
2023/04/19 7:38:25 pm GMT+8,Male,31- 40years,Bachelor Degree,Supervisor,3-5yaers,3,4,4,4,4,4,4,4,4,2,4,2,3,2,2,2,4,2,2,4,3,4,3,4,2,2,2
2023/04/19 7:39:06 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,More than 5years,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,4,3,3,1,3,1
2023/04/19 7:40:12 pm GMT+8,Female,20- 30years,Bachelor Degree,Supervisor,1-3years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5
2023/04/19 8:17:25 pm GMT+8,Male,20- 30years,Bachelor Degree,General Worker,3-5yaers,4,4,4,4,5,4,5,5,4,4,4,3,4,4,4,3,4,3,3,5,4,5,4,4,4,3,3
2023/04/19 8:20:23 pm GMT+8,Male,20- 30years,Bachelor Degree,Top Level Manager,1-3years,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,4,2,4,1,1,2,2,2
2023/04/19 8:20:50 pm GMT+8,Male,31- 40years,Bachelor Degree,Middle Manager,1-3years,4,4,3,4,4,4,3,2,3,4,3,3,3,2,1,3,1,3,2,3,5,4,4,4,1,2,3
2023/04/19 8:42:39 pm GMT+8,Male,31- 40years,Bachelor Degree,Top Level Manager,1-3years,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,5,1,5,1,1,1,1,1
2023/04/19 8:51:53 pm GMT+8,Male,20- 30years,Master's Degree,Supervisor,Less than a year,3,2,2,1,3,1,4,3,3,4,1,2,4,1,2,2,1,1,3,4,4,4,4,2,2,1,2
2023/04/19 9:04:14 pm GMT+8,Female,20- 30years,Master's Degree,Middle Manager,1-3years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,4,2,2,4
2023/04/19 9:27:34 pm GMT+8,Male,31- 40years,Bachelor Degree,Top Level Manager,1-3years,4,4,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,4,3,2,3,5,4,4,5,4,4
2023/04/19 9:32:30 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,1-3years,5,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,3,3,3,2,4,4,4,4,3,4,4
