Dataset,Model,Train_N,Test_N,Positive_Test_N,Accuracy,Precision,Recall,F1,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,CV_Best_F1,Best_Params
ibm,Random Forest,1176,294,47,0.8333333333333334,0.4375,0.14893617021276595,0.2222222222222222,0.7891156462585034,0.8741496598639455,0.1875,0.7,0.05357142857142857,0.2558139534883721,0.08692546583850937,0.3607302533532038,0.39369962693133426,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}"
ibm,Decision Tree,1176,294,47,0.7857142857142857,0.36666666666666664,0.46808510638297873,0.411214953271028,0.7380952380952381,0.8333333333333334,0.2459016393442623,0.49313380281690045,0.3333333333333333,0.6207129543336439,0.2909090909090909,0.5253156565656563,0.39748471204268726,"{""model__criterion"": ""entropy"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 5}"
ibm,Linear SVM,1176,294,47,0.7517006802721088,0.3488372093023256,0.6382978723404256,0.45112781954887216,0.7006802721088435,0.7993197278911565,0.2474199091009866,0.4533333333333333,0.4888888888888889,0.7777777777777778,0.3387034739454094,0.5517347154643536,0.48616063037663554,"{""model__C"": 0.1}"
ibm,MLP,1176,294,47,0.8775510204081632,0.7037037037037037,0.40425531914893614,0.5135135135135135,0.8401360544217688,0.9149659863945578,0.5217391304347826,0.88,0.26666666666666666,0.5490441176470587,0.36363636363636365,0.6428571428571429,0.5376988531261562,"{""model__learning_rate_init"": 0.01, ""model__hidden_layer_sizes"": [50], ""model__alpha"": 0.0001, ""model__activation"": ""tanh""}"
job_change,Random Forest,15326,3832,955,0.7620041753653445,0.5155234657039711,0.7476439790575916,0.6102564102564103,0.747651356993737,0.7747977557411273,0.48979411041525045,0.5407048741826828,0.7190034054995015,0.7739971455998373,0.5869674378748928,0.6321252316438082,0.5840568982184396,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}"
job_change,Decision Tree,15326,3832,955,0.7473903966597077,0.49543859649122807,0.7392670157068063,0.5932773109243697,0.7332985386221295,0.7609603340292276,0.4693101236398731,0.5207911137444242,0.7114345963285859,0.7653395349795176,0.5698273432126088,0.6155706556936044,0.5663681737031823,"{""model__criterion"": ""entropy"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
job_change,Linear SVM,15326,3832,955,0.7437369519832986,0.49057920446615494,0.7361256544502618,0.5887772194304858,0.7296450939457203,0.7573134133611691,0.46601244017144067,0.5174386073164198,0.7081989771269596,0.7631847621647858,0.5656876326101167,0.612326998742715,0.5712381829463177,"{""model__C"": 0.1}"
job_change,MLP,15326,3832,955,0.7836638830897703,0.5680345572354212,0.5507853403141362,0.5592769803296119,0.7708703027139875,0.7964574634655531,0.5362946912242686,0.600222066741703,0.5192904535640043,0.5821358880591109,0.5323092967997175,0.5852363940189219,0.517603220675201,"{""model__learning_rate_init"": 0.01, ""model__hidden_layer_sizes"": [50, 50], ""model__alpha"": 0.001, ""model__activation"": ""relu""}"
promotion,Random Forest,43846,10962,934,0.9134282065316548,0.4911242603550296,0.4443254817987152,0.46655424395727935,0.9082284254698048,0.9189039408866995,0.4585296294078396,0.5255359967688734,0.4126746939246939,0.4747268907563025,0.4379900181488203,0.4941644240770834,0.4593020606166449,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 400}"
promotion,Decision Tree,43846,10962,934,0.738733807699325,0.2308979364194088,0.8865096359743041,0.3663716814159292,0.7305213464696223,0.747035212552454,0.2175104734284809,0.24468851199136432,0.8659265411571346,0.9067048221171436,0.34889918962477556,0.3840719710055095,0.36596592262809663,"{""model__criterion"": ""gini"", ""model__max_depth"": 12, ""model__min_samples_leaf"": 5}"
promotion,Linear SVM,43846,10962,934,0.7584382411968619,0.23871951219512194,0.8383297644539615,0.37161841480778357,0.750501733260354,0.7666507024265644,0.22436836689568676,0.2533293073190875,0.8144220572640509,0.8615396995708154,0.3530569200477691,0.3900811841795238,0.3694078067429638,"{""model__C"": 0.1}"
promotion,MLP,43846,10962,934,0.9430760810071155,0.9725609756097561,0.341541755888651,0.5055467511885895,0.9386060937785076,0.9473659003831417,0.9538893815118599,0.9881305637982196,0.31351190127220496,0.3717562583728708,0.473722579068564,0.5380383103475261,0.49470720526144096,"{""model__learning_rate_init"": 0.001, ""model__hidden_layer_sizes"": [50, 50], ""model__alpha"": 0.0001, ""model__activation"": ""tanh""}"
