Dataset,Model,Feature,Importance_Mean,Importance_Std
ibm,Decision Tree,OverTime,0.13066736499395218,0.028206592515109784
ibm,Decision Tree,MonthlyIncome,0.06713326415543384,0.02260385109415582
ibm,Decision Tree,JobRole,0.049442346932698035,0.014834561716478196
ibm,Decision Tree,HourlyRate,0.028089673709401287,0.011328491980334863
ibm,Decision Tree,YearsInCurrentRole,0.022602444284687263,0.015718763112070096
ibm,Decision Tree,EnvironmentSatisfaction,0.021551073084937245,0.01944919398110761
ibm,Decision Tree,MaritalStatus,0.017817953236859863,0.011217448413295611
ibm,Decision Tree,Age,0.01693562149169625,0.020197677122661642
ibm,Decision Tree,DistanceFromHome,0.008195417179723285,0.008025630232791662
ibm,Decision Tree,NumCompaniesWorked,0.0027790528698744986,0.03640123625193005
ibm,Decision Tree,YearsAtCompany,0.002270159420573814,0.0030747728860936576
ibm,Decision Tree,TotalWorkingYears,0.0022066136401869716,0.03918580329574644
ibm,Decision Tree,DailyRate,0.0016331517908024008,0.01337027981552311
ibm,Decision Tree,JobSatisfaction,0.0015090457000771606,0.0030180914001543212
ibm,Decision Tree,BusinessTravel,0.0015086502478496855,0.0030712123705183437
ibm,Decision Tree,PercentSalaryHike,0.0012647184047238414,0.007116117243239008
ibm,Decision Tree,YearsWithCurrManager,0.0,0.0
ibm,Decision Tree,JobInvolvement,0.0,0.0
ibm,Decision Tree,Department,0.0,0.0
ibm,Decision Tree,Education,0.0,0.0
ibm,Decision Tree,EducationField,0.0,0.0
ibm,Decision Tree,JobLevel,0.0,0.0
ibm,Decision Tree,PerformanceRating,0.0,0.0
ibm,Decision Tree,RelationshipSatisfaction,0.0,0.0
ibm,Decision Tree,YearsSinceLastPromotion,0.0,0.0
ibm,Decision Tree,StockOptionLevel,-0.0005787409342273397,0.008543782681597924
ibm,Decision Tree,Gender,-0.0015517545406454002,0.0019005034153140653
ibm,Decision Tree,MonthlyRate,-0.0031035090812908004,0.0015517545406454004
ibm,Decision Tree,TrainingTimesLastYear,-0.0070719934271336275,0.0038650441656519455
ibm,Decision Tree,WorkLifeBalance,-0.010019655299147468,0.00501727619764403
