Transformed_Feature,Coefficient,Absolute_Coefficient
cat__JobRole_Research Director,-0.518702360013741,0.518702360013741
cat__JobRole_Laboratory Technician,0.43717955498846617,0.43717955498846617
cat__JobRole_Sales Representative,0.38158257979198784,0.38158257979198784
cat__BusinessTravel_Non-Travel,-0.35311477592502255,0.35311477592502255
cat__OverTime_No,-0.34226748282590885,0.34226748282590885
cat__EducationField_Other,-0.2889501314345102,0.2889501314345102
cat__OverTime_Yes,0.26628789207532033,0.26628789207532033
cat__BusinessTravel_Travel_Frequently,0.2625808432659484,0.2625808432659484
cat__EducationField_Human Resources,0.2555024798846115,0.2555024798846115
num__TotalWorkingYears,-0.22264130474754334,0.22264130474754334
cat__JobRole_Healthcare Representative,-0.2077652292514303,0.2077652292514303
num__JobLevel,0.19351578836982178,0.19351578836982178
cat__MaritalStatus_Divorced,-0.17037896782782846,0.17037896782782846
num__NumCompaniesWorked,0.16951129938755674,0.16951129938755674
num__YearsSinceLastPromotion,0.16737438462138882,0.16737438462138882
num__YearsWithCurrManager,-0.16354609501666914,0.16354609501666914
cat__JobRole_Human Resources,0.1611569459474974,0.1611569459474974
num__EnvironmentSatisfaction,-0.15233222955015527,0.15233222955015527
cat__MaritalStatus_Single,0.13973475721733827,0.13973475721733827
num__JobSatisfaction,-0.13676374647118925,0.13676374647118925
cat__JobRole_Manager,-0.13071577886578636,0.13071577886578636
cat__EducationField_Technical Degree,0.12950842777760843,0.12950842777760843
cat__Department_Sales,0.1288010563412148,0.1288010563412148
num__DistanceFromHome,0.12082218906274655,0.12082218906274655
cat__JobRole_Manufacturing Director,-0.11935608514536304,0.11935608514536304
cat__Department_Human Resources,-0.11039909472362706,0.11039909472362706
num__JobInvolvement,-0.10694239948030547,0.10694239948030547
num__Age,-0.10496571492358861,0.10496571492358861
num__YearsAtCompany,0.10057899605531964,0.10057899605531964
cat__EducationField_Life Sciences,-0.09764302114295675,0.09764302114295675
cat__Department_Research & Development,-0.09438155236816446,0.09438155236816446
cat__Gender_Female,-0.09124557429368603,0.09124557429368603
num__RelationshipSatisfaction,-0.08941751667221022,0.08941751667221022
num__PercentSalaryHike,-0.08904910913819238,0.08904910913819238
num__DailyRate,-0.08599443237115602,0.08599443237115602
num__MonthlyIncome,-0.08575598405066717,0.08575598405066717
num__YearsInCurrentRole,-0.08115377701985801,0.08115377701985801
num__StockOptionLevel,-0.0804687177577097,0.0804687177577097
num__WorkLifeBalance,-0.07698792014484754,0.07698792014484754
cat__EducationField_Medical,-0.06611328824411597,0.06611328824411597
num__TrainingTimesLastYear,-0.06149131238780418,0.06149131238780418
num__PerformanceRating,0.06095250340675555,0.06095250340675555
cat__MaritalStatus_Married,-0.0453353801401122,0.0453353801401122
cat__JobRole_Research Scientist,-0.04165700534716738,0.04165700534716738
cat__JobRole_Sales Executive,-0.03770221285507711,0.03770221285507711
num__HourlyRate,-0.015615095962456952,0.015615095962456952
cat__Gender_Male,0.015265983543106583,0.015265983543106583
cat__BusinessTravel_Travel_Rarely,0.014554341908482617,0.014554341908482617
num__Education,0.009645958439149352,0.009645958439149352
num__MonthlyRate,0.008368853085880356,0.008368853085880356
cat__EducationField_Marketing,-0.008284057591230104,0.008284057591230104
