Dataset,Model,Feature,Importance_Mean,Importance_Std
ibm,Linear SVM,OverTime,0.13192462224865992,0.02543408846682615
ibm,Linear SVM,BusinessTravel,0.014190036809375828,0.020680358425138663
ibm,Linear SVM,NumCompaniesWorked,0.012216813138597871,0.020468153475111352
ibm,Linear SVM,JobSatisfaction,0.004479935616184627,0.01959174924049679
ibm,Linear SVM,StockOptionLevel,0.0041204855862219,0.013245456247391908
ibm,Linear SVM,JobInvolvement,0.0033854587105360823,0.011187819104714553
ibm,Linear SVM,MonthlyRate,0.0033666255190213934,0.0
ibm,Linear SVM,Education,0.003007518796992481,0.006015037593984962
ibm,Linear SVM,HourlyRate,0.002019975311412836,0.001649302935326999
ibm,Linear SVM,YearsSinceLastPromotion,-0.002479323086030105,0.023335221467203314
ibm,Linear SVM,PercentSalaryHike,-0.0032137207302269212,0.01271709751804825
ibm,Linear SVM,TrainingTimesLastYear,-0.0053050914637717715,0.01040675032578394
ibm,Linear SVM,Gender,-0.005560132606757362,0.01069474187799653
ibm,Linear SVM,JobRole,-0.006743674326271343,0.01713311795633139
ibm,Linear SVM,WorkLifeBalance,-0.006987456873373532,0.012665468118342744
ibm,Linear SVM,MonthlyIncome,-0.007265608865593709,0.011598627434723403
ibm,Linear SVM,YearsInCurrentRole,-0.009360336362076971,0.01107142882118089
ibm,Linear SVM,YearsAtCompany,-0.00953823469882582,0.012475953535213115
ibm,Linear SVM,EducationField,-0.009755500204521528,0.009315489049190877
ibm,Linear SVM,MaritalStatus,-0.012085072026455247,0.006100477275426801
ibm,Linear SVM,Department,-0.017674551981082844,0.010295170522825553
ibm,Linear SVM,EnvironmentSatisfaction,-0.018373330296345858,0.009636232672424316
ibm,Linear SVM,TotalWorkingYears,-0.019570659310542658,0.007576297960405115
ibm,Linear SVM,YearsWithCurrManager,-0.02272104036314565,0.01633702323214591
ibm,Linear SVM,RelationshipSatisfaction,-0.02302541097796368,0.016270201601190495
ibm,Linear SVM,JobLevel,-0.024972322188451003,0.029725668987554247
ibm,Linear SVM,PerformanceRating,-0.02547039199510075,0.009984421406057169
ibm,Linear SVM,DailyRate,-0.0305743459078599,0.014568572579717696
ibm,Linear SVM,Age,-0.03059339265166978,0.009828937984416287
ibm,Linear SVM,DistanceFromHome,-0.04510546009799018,0.02481238350622683
