Dataset,Model,Feature,Importance_Mean,Importance_Std
ibm,MLP,OverTime,0.12392486213683038,0.01805267709188134
ibm,MLP,JobInvolvement,0.07928522950163579,0.024720220922253375
ibm,MLP,JobSatisfaction,0.06967494701671913,0.04338312980896464
ibm,MLP,WorkLifeBalance,0.060242760874339815,0.011240987881826687
ibm,MLP,NumCompaniesWorked,0.05983385983385982,0.03258062842013018
ibm,MLP,TrainingTimesLastYear,0.04322260459226449,0.017997977668472963
ibm,MLP,RelationshipSatisfaction,0.041767481767481754,0.030875034207412982
ibm,MLP,EducationField,0.03730622163190174,0.026389772797959968
ibm,MLP,YearsInCurrentRole,0.03481699451466833,0.03552013639595685
ibm,MLP,TotalWorkingYears,0.031140474671634232,0.020460540946724
ibm,MLP,Department,0.026928718191876044,0.023369802510255694
ibm,MLP,Gender,0.026742039373618298,0.011867277400411764
ibm,MLP,Age,0.02162927658509367,0.016366001423070112
ibm,MLP,JobRole,0.02064490925227357,0.024010353086817704
ibm,MLP,DistanceFromHome,0.01907755750896467,0.02408827430594862
ibm,MLP,BusinessTravel,0.018679086679086642,0.019760689974488273
ibm,MLP,YearsSinceLastPromotion,0.017250959711504876,0.012153028882671868
ibm,MLP,MaritalStatus,0.013703989703989672,0.011840205918415279
ibm,MLP,EnvironmentSatisfaction,0.013563829265233796,0.038549036500763224
ibm,MLP,DailyRate,0.011126711126711108,0.014803562039275476
ibm,MLP,StockOptionLevel,0.008305424798575467,0.029149211169870824
ibm,MLP,MonthlyIncome,0.008108108108108091,0.00662024254806263
ibm,MLP,PercentSalaryHike,0.006735693439918755,0.004275582914048219
ibm,MLP,JobLevel,0.006627754515078433,0.01872154642930421
ibm,MLP,YearsAtCompany,0.004983398271069505,0.013489107510475442
ibm,MLP,YearsWithCurrManager,0.0009157044368311773,0.01779406885433619
ibm,MLP,HourlyRate,0.0,0.0
ibm,MLP,Education,0.0,0.0
ibm,MLP,PerformanceRating,0.0,0.0
ibm,MLP,MonthlyRate,-0.004259739191246048,0.005696061346975026
