Tree_Index,Depth,Leaves
0,13,130
1,15,117
2,14,122
3,14,117
4,13,111
5,15,135
6,16,122
7,12,120
8,13,133
9,17,125
10,14,136
11,12,130
12,13,129
13,14,132
14,14,142
15,15,126
16,13,125
17,12,112
18,16,131
19,13,130
20,19,135
21,16,125
22,16,133
23,16,133
24,13,124
25,14,117
26,12,119
27,18,131
28,14,121
29,12,141
30,14,114
31,13,117
32,16,132
33,19,119
34,15,131
35,13,131
36,12,136
37,12,123
38,16,123
39,15,127
40,12,126
41,13,111
42,15,131
43,14,122
44,16,128
45,15,126
46,12,132
47,14,133
48,13,121
49,14,131
50,13,128
51,18,142
52,15,134
53,15,127
54,12,121
55,15,128
56,16,126
57,15,118
58,13,116
59,14,130
60,15,140
61,13,123
62,17,116
63,15,131
64,13,121
65,14,129
66,14,132
67,12,132
68,13,118
69,15,133
70,16,128
71,12,135
72,13,121
73,16,126
74,14,125
75,13,140
76,15,133
77,14,134
78,15,126
79,12,127
80,12,128
81,19,122
82,14,121
83,14,133
84,17,129
85,13,138
86,12,127
87,16,133
88,13,117
89,14,129
90,14,130
91,15,142
92,12,131
93,14,114
94,15,127
95,14,117
96,16,127
97,14,122
98,16,126
99,17,129
100,14,135
101,13,147
102,17,130
103,16,134
104,13,128
105,15,136
106,12,127
107,14,143
108,11,116
109,19,130
110,12,118
111,13,136
112,16,126
113,14,135
114,15,126
115,12,130
116,17,121
117,17,135
118,14,138
119,14,117
120,14,122
121,14,123
122,14,129
123,12,122
124,13,130
125,12,121
126,17,116
127,14,124
128,14,138
129,11,122
130,14,129
131,15,116
132,15,128
133,14,128
134,13,131
135,14,126
136,12,128
137,15,126
138,15,132
139,17,129
140,15,135
141,13,139
142,16,119
143,14,118
144,21,131
145,17,131
146,13,117
147,14,132
148,15,140
149,12,128
150,13,128
151,18,124
152,16,135
153,12,126
154,15,129
155,17,123
156,13,123
157,13,143
158,13,101
159,14,119
160,15,130
161,15,131
162,17,127
163,15,131
164,13,126
165,12,119
166,13,127
167,13,130
168,17,129
169,14,124
170,13,132
171,13,117
172,12,128
173,15,132
174,19,127
175,15,129
176,13,111
177,14,122
178,14,133
179,17,128
180,17,124
181,13,131
182,15,129
183,15,115
184,13,131
185,19,135
186,14,131
187,14,133
188,15,134
189,12,124
190,12,135
191,12,120
192,13,120
193,13,118
194,15,119
195,17,129
196,13,107
197,15,125
198,14,130
199,16,131
