Dataset,Model,Feature,Importance_Mean,Importance_Std
ibm,Random Forest,OverTime,0.0777203011939636,0.029005602269461618
ibm,Random Forest,MonthlyIncome,0.038545161231186634,0.02602082709469037
ibm,Random Forest,YearsWithCurrManager,0.028668894458368132,0.028401798227067503
ibm,Random Forest,TrainingTimesLastYear,0.022492508372994886,0.021635100031477977
ibm,Random Forest,MaritalStatus,0.014754098360655731,0.023243857400290377
ibm,Random Forest,RelationshipSatisfaction,0.014583700569951225,0.013418751324215796
ibm,Random Forest,WorkLifeBalance,0.014167306707629279,0.013134728296868006
ibm,Random Forest,PercentSalaryHike,0.013845701862624116,0.014376985292604097
ibm,Random Forest,DailyRate,0.01339285714285714,0.015038844890188256
ibm,Random Forest,JobInvolvement,0.010121460888250944,0.03221979073046102
ibm,Random Forest,DistanceFromHome,0.008044050468021275,0.013464022305406505
ibm,Random Forest,JobLevel,0.007419962335216551,0.01683729568068102
ibm,Random Forest,JobSatisfaction,0.00018185758412657128,0.02880830301740079
ibm,Random Forest,YearsSinceLastPromotion,-0.0005376344086021556,0.017917562365519696
ibm,Random Forest,PerformanceRating,-0.0007168458781362019,0.0014336917562724038
ibm,Random Forest,Age,-0.0015866852675469445,0.051144296999660596
ibm,Random Forest,Gender,-0.004982666431635241,0.019580615446798795
ibm,Random Forest,Department,-0.005376344086021512,0.021075451685257405
ibm,Random Forest,MonthlyRate,-0.005906159179559512,0.018149498705500446
ibm,Random Forest,YearsAtCompany,-0.008547228368816245,0.02725998482958179
ibm,Random Forest,StockOptionLevel,-0.015612802498048407,0.024710133917416888
ibm,Random Forest,JobRole,-0.020694106480747054,0.03508467609539721
ibm,Random Forest,TotalWorkingYears,-0.02502088554720134,0.021064562796441796
ibm,Random Forest,EducationField,-0.02588435823827152,0.019897869920998606
ibm,Random Forest,Education,-0.026113671274961597,0.011264720942140293
ibm,Random Forest,YearsInCurrentRole,-0.030098284967648336,0.012571733882445865
ibm,Random Forest,EnvironmentSatisfaction,-0.03167166167166169,0.012140613278761259
ibm,Random Forest,HourlyRate,-0.04896180432470756,0.01275847429228439
ibm,Random Forest,BusinessTravel,-0.05388791763791765,0.0031820583172274606
ibm,Random Forest,NumCompaniesWorked,-0.0633821733821734,0.021535097292762977
