Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0,Value_1,Positive_Probability
ibm,Random Forest,0,0,1,40,num__TotalWorkingYears,2.5,0.49958531610930945,749,1153.514508380472,False,0.5143993730885201,0.4856006269114858,0.4856006269114829
ibm,Random Forest,0,1,2,35,cat__BusinessTravel_Non-Travel,0.5,0.27092299504835937,66,195.62754350378992,False,0.16156462585034012,0.83843537414966,0.83843537414966
ibm,Random Forest,0,2,3,34,cat__EducationField_Other,0.5,0.21521902704176088,57,179.89648766947803,False,0.12265336031823569,0.8773466396817637,0.8773466396817642
ibm,Random Forest,0,3,4,21,num__HourlyRate,70.5,0.19246254900446325,54,176.91474324757124,False,0.10786644431039989,0.8921335556896,0.8921335556896001
ibm,Random Forest,0,4,5,8,num__Education,1.5,0.11585107011945917,34,135.23309490765456,False,0.06173699113401103,0.9382630088659887,0.938263008865989
ibm,Random Forest,0,5,6,7,cat__MaritalStatus_Married,0.5,0.4916228092619491,4,5.480132379630618,False,0.4352806414662085,0.5647193585337915,0.5647193585337915
ibm,Random Forest,0,6,-1,-1,leaf,,0.0,2,1.7890466531440161,True,1.0,0.0,0.0
ibm,Random Forest,0,7,-1,-1,leaf,,0.2709229950483595,2,3.6910857264866017,True,0.16156462585034012,0.8384353741496599,0.8384353741496599
ibm,Random Forest,0,8,9,20,num__Age,34.5,0.08769595427864241,30,129.75296252802391,False,0.0459603289791969,0.954039671020803,0.9540396710208031
ibm,Random Forest,0,9,10,11,num__TotalWorkingYears,0.5,0.07315767406717033,28,125.465527917156,False,0.038024716065442526,0.9619752839345572,0.9619752839345574
ibm,Random Forest,0,10,-1,-1,leaf,,0.0,3,27.852631578947367,True,0.0,1.0,1.0
ibm,Random Forest,0,11,12,19,cat__BusinessTravel_Travel_Frequently,0.5,0.09297174346832693,25,97.6128963382086,False,0.04887459807073955,0.9511254019292604,0.9511254019292604
ibm,Random Forest,0,12,13,18,num__PerformanceRating,3.5,0.14532814440104247,18,60.47605423294546,False,0.078887274237077,0.9211127257629228,0.921112725762923
ibm,Random Forest,0,13,14,17,num__JobSatisfaction,3.5,0.10151827513833767,15,55.59227073769617,False,0.05363595302619693,0.946364046973803,0.946364046973803
ibm,Random Forest,0,14,15,16,num__DistanceFromHome,20.0,0.025045409901230054,11,47.01740151596029,False,0.012683578104138851,0.9873164218958611,0.9873164218958611
ibm,Random Forest,0,15,-1,-1,leaf,,0.0,8,40.23157894736842,True,0.0,1.0,1.0
ibm,Random Forest,0,16,-1,-1,leaf,,0.1603168341233372,3,6.785822568591865,True,0.08788159111933395,0.9121184088806661,0.9121184088806661
ibm,Random Forest,0,17,-1,-1,leaf,,0.4015957503821098,4,8.57486922173588,True,0.2781844802342606,0.7218155197657394,0.7218155197657394
ibm,Random Forest,0,18,-1,-1,leaf,,0.46426140456380727,3,4.883783495249279,True,0.36632390745501286,0.6336760925449871,0.6336760925449871
ibm,Random Forest,0,19,-1,-1,leaf,,0.0,7,37.136842105263156,True,0.0,1.0,1.0
ibm,Random Forest,0,20,-1,-1,leaf,,0.4015957503821078,2,4.28743461086794,True,0.2781844802342606,0.7218155197657394,0.7218155197657394
ibm,Random Forest,0,21,22,31,num__MonthlyIncome,2799.5,0.38241671505298624,20,41.681648339916734,False,0.25753012048192764,0.7424698795180722,0.7424698795180723
ibm,Random Forest,0,22,23,30,num__TotalWorkingYears,1.5,0.2267045106176615,13,32.027073769616734,False,0.13034104272834185,0.8696589572716583,0.8696589572716581
ibm,Random Forest,0,23,24,29,cat__JobRole_Laboratory Technician,0.5,0.17470137282623666,11,30.83437600085406,False,0.09670195439739414,0.9032980456026058,0.9032980456026058
ibm,Random Forest,0,24,25,26,cat__MaritalStatus_Single,0.5,0.31286903105960806,8,15.360691790327746,False,0.19411524315488352,0.8058847568451165,0.8058847568451165
ibm,Random Forest,0,25,-1,-1,leaf,,0.0,4,2.385395537525355,True,1.0,0.0,0.0
ibm,Random Forest,0,26,27,28,num__TrainingTimesLastYear,3.5,0.08769595427864185,4,12.97529625280239,False,0.045960328979196906,0.9540396710208031,0.9540396710208031
ibm,Random Forest,0,27,-1,-1,leaf,,0.0,2,9.284210526315789,True,0.0,1.0,1.0
ibm,Random Forest,0,28,-1,-1,leaf,,0.2709229950483595,2,3.6910857264866017,True,0.16156462585034012,0.8384353741496599,0.8384353741496599
ibm,Random Forest,0,29,-1,-1,leaf,,0.0,3,15.473684210526315,True,0.0,1.0,1.0
ibm,Random Forest,0,30,-1,-1,leaf,,0.0,2,1.1926977687626774,True,1.0,0.0,0.0
ibm,Random Forest,0,31,32,33,num__Age,21.5,0.4355926413814909,7,9.654574570299989,False,0.6794538361508452,0.32054616384915474,0.32054616384915474
ibm,Random Forest,0,32,-1,-1,leaf,,0.4015957503821098,3,4.28743461086794,True,0.2781844802342606,0.7218155197657394,0.7218155197657394
ibm,Random Forest,0,33,-1,-1,leaf,,0.0,4,5.367139959432048,True,1.0,0.0,0.0
ibm,Random Forest,0,34,-1,-1,leaf,,1.176836406102666e-14,3,2.9817444219066935,True,1.0,0.0,0.0
ibm,Random Forest,0,35,36,37,cat__EducationField_Medical,0.5,0.47729662696201436,9,15.731055834311945,False,0.6065442936951316,0.3934557063048683,0.3934557063048683
ibm,Random Forest,0,36,-1,-1,leaf,,0.0,4,7.1561866125760645,True,1.0,0.0,0.0
ibm,Random Forest,0,37,38,39,cat__JobRole_Laboratory Technician,0.5,0.4015957503821098,5,8.57486922173588,False,0.2781844802342606,0.7218155197657394,0.7218155197657394
