Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0,Value_1,Positive_Probability
job_change,Decision Tree,,0,1,80,num__city_development_index,0.6245000064373016,1.0000000000001823,15326,15326.00000000502,False,0.49999999999978745,0.4999999999998007,0.5000000000000067
job_change,Decision Tree,,1,2,47,cat__company_size_10/49,0.5,0.7000960631669775,2701,3922.603842614737,False,0.18934348679431207,0.8106565132057156,0.8106565132056931
job_change,Decision Tree,,2,3,26,cat__experience_1,0.5,0.7135620127168438,2435,3503.0841805801783,False,0.19585587503943763,0.804144124960591,0.804144124960568
job_change,Decision Tree,,3,4,13,cat__company_size_1000-4999,0.5,0.7209503702612098,2298,3288.6516024002153,False,0.1995116755563662,0.8004883244436634,0.8004883244436397
job_change,Decision Tree,,4,5,12,num__training_hours,301.0,0.7142183908722244,2196,3157.781567751622,False,0.1961782317367644,0.8038217682632639,0.803821768263241
job_change,Decision Tree,,5,6,11,num__training_hours,265.0,0.7110651881872436,2180,3141.7682892723715,False,0.19463389857813365,0.8053661014218941,0.8053661014218718
job_change,Decision Tree,,6,7,8,num__training_hours,2.5,0.7141103825155561,2161,3107.690401363708,False,0.19612515516417636,0.8038748448358515,0.8038748448358292
job_change,Decision Tree,,7,-1,-1,leaf,,0.2967849397154341,14,25.391886898120756,True,0.05246684787085083,0.9475331521291491,0.9475331521291491
job_change,Decision Tree,,8,9,10,cat__experience_16,0.5,0.7165125434252861,2147,3082.2985144655895,False,0.19730860818588977,0.8026913918141384,0.8026913918141158
job_change,Decision Tree,,9,-1,-1,leaf,,0.7134512596927156,2121,3051.590944136725,True,0.19580152867945108,0.8041984713205762,0.8041984713205542
job_change,Decision Tree,,10,-1,-1,leaf,,0.9314294555746291,26,30.707570328869757,True,0.3470759171812567,0.652924082818743,0.6529240828187431
job_change,Decision Tree,,11,-1,-1,leaf,,0.32202487614003,19,34.077887908667265,True,0.058640617808009,0.9413593821919909,0.941359382191991
job_change,Decision Tree,,12,-1,-1,leaf,,0.9999980258054326,16,16.013278479253046,True,0.4991728341314759,0.5008271658685242,0.5008271658685242
job_change,Decision Tree,,13,14,19,num__training_hours,41.5,0.8553756031585829,102,130.8700346486083,False,0.2799448127442083,0.720055187255793,0.720055187255792
job_change,Decision Tree,,14,15,18,cat__education_level_Masters,0.5,0.6886827323971512,47,68.79540067605085,False,0.1839687887923391,0.8160312112076608,0.8160312112076609
job_change,Decision Tree,,15,16,17,num__training_hours,21.0,0.6053941462562138,32,49.431673073102125,False,0.14823041611135798,0.851769583888642,0.851769583888642
job_change,Decision Tree,,16,-1,-1,leaf,,0.6829703532859401,20,29.388583699233415,True,0.18132650156561342,0.8186734984343864,0.8186734984343866
job_change,Decision Tree,,17,-1,-1,leaf,,0.4680521923952947,12,20.04308937386873,True,0.0997026138675849,0.900297386132415,0.9002973861324151
job_change,Decision Tree,,18,-1,-1,leaf,,0.8488299968516186,15,19.363727602948742,True,0.2752016129032258,0.7247983870967742,0.7247983870967742
job_change,Decision Tree,,19,20,25,num__training_hours,136.0,0.9623783156820691,55,62.07463397255767,False,0.38631207744659835,0.6136879225534017,0.6136879225534017
job_change,Decision Tree,,20,21,22,cat__education_level_Graduate,0.5,0.9991629180300254,38,37.362108845356914,False,0.517030983234907,0.4829690167650927,0.4829690167650928
job_change,Decision Tree,,21,-1,-1,leaf,,0.8122607263421753,10,8.000016420925919,True,0.7493791120212626,0.2506208879787373,0.25062088797873733
job_change,Decision Tree,,22,23,24,num__training_hours,57.5,0.9938125114788541,28,29.362092424431,False,0.45372524811244563,0.5462747518875537,0.546274751887554
job_change,Decision Tree,,23,-1,-1,leaf,,0.9175592271849586,10,12.01658167814039,True,0.33259848001392356,0.6674015199860764,0.6674015199860764
job_change,Decision Tree,,24,-1,-1,leaf,,0.9959083794396477,18,17.345510746290596,True,0.5376391624130864,0.46236083758691376,0.46236083758691365
job_change,Decision Tree,,25,-1,-1,leaf,,0.6987065129488009,17,24.71252512720077,True,0.18868217272945256,0.8113178272705472,0.8113178272705475
job_change,Decision Tree,,26,27,36,cat__relevent_experience_No relevent experience,0.5,0.5836848586890142,137,214.43257817998264,False,0.1397885818599141,0.8602114181400856,0.8602114181400858
job_change,Decision Tree,,27,28,29,num__training_hours,12.0,0.40704044488855695,57,98.21709846878719,False,0.08138494953366564,0.9186150504663348,0.9186150504663344
job_change,Decision Tree,,28,-1,-1,leaf,,0.0,10,20.049712192569334,True,0.0,1.0,1.0
job_change,Decision Tree,,29,30,33,num__training_hours,45.0,0.4761188248008864,47,78.16738627621793,False,0.10225995754775885,0.8977400424522411,0.8977400424522411
job_change,Decision Tree,,30,31,32,num__training_hours,31.0,0.6281869217784661,25,38.07458470977992,False,0.15745530115077222,0.8425446988492278,0.8425446988492278
job_change,Decision Tree,,31,-1,-1,leaf,,0.4932121982871239,15,24.719147945901376,True,0.10778949743358338,0.8922105025664164,0.8922105025664167
job_change,Decision Tree,,32,-1,-1,leaf,,0.8102941879374053,10,13.355436763878549,True,0.24938013832702596,0.7506198616729739,0.750619861672974
job_change,Decision Tree,,33,34,35,num__training_hours,86.0,0.2857299645655616,22,40.092801566438055,False,0.04984307213465368,0.9501569278653462,0.9501569278653463
job_change,Decision Tree,,34,-1,-1,leaf,,0.0,10,20.049712192569334,True,0.0,1.0,1.0
job_change,Decision Tree,,35,-1,-1,leaf,,0.4680521923952949,12,20.043089373868728,True,0.09970261386758492,0.9002973861324151,0.9002973861324151
job_change,Decision Tree,,36,37,42,cat__education_level_Graduate,0.5,0.6996840524665904,80,116.21547971119529,False,0.18914719846913866,0.8108528015308623,0.8108528015308616
job_change,Decision Tree,,37,38,39,num__training_hours,43.5,0.8444214317423575,34,44.06962991144891,False,0.27207150201692626,0.7279284979830736,0.7279284979830737
job_change,Decision Tree,,38,-1,-1,leaf,,0.5425489000550177,10,16.033146935354864,True,0.12463856338456854,0.8753614366154314,0.8753614366154314
job_change,Decision Tree,,39,40,41,num__training_hours,81.0,0.9396402769409888,24,28.036482976094046,False,0.35638357390623243,0.6436164260937673,0.6436164260937675
job_change,Decision Tree,,40,-1,-1,leaf,,0.9981243093193299,13,12.676074992958558,True,0.525490843095199,0.4745091569048012,0.4745091569048011
job_change,Decision Tree,,41,-1,-1,leaf,,0.7543347854626117,11,15.360407983135481,True,0.21682891959970046,0.7831710804002996,0.7831710804002996
job_change,Decision Tree,,42,43,44,num__training_hours,43.0,0.5802801785632724,46,72.14584979974651,False,0.13849364905279343,0.8615063509472067,0.8615063509472065
job_change,Decision Tree,,43,-1,-1,leaf,,0.7414386317708431,18,25.378641260719544,True,0.20997692561257006,0.7900230743874299,0.7900230743874299
job_change,Decision Tree,,44,45,46,num__training_hours,80.0,0.4680521923952946,28,46.76720853902702,False,0.09970261386758496,0.9002973861324151,0.9002973861324151
job_change,Decision Tree,,45,-1,-1,leaf,,0.20508622171250893,11,20.71582832608811,True,0.032154935976174054,0.9678450640238259,0.967845064023826
job_change,Decision Tree,,46,-1,-1,leaf,,0.6183230694933426,17,26.051380212938927,True,0.15341593299258743,0.8465840670074125,0.8465840670074125
