Dataset,Model,Feature,Importance_Mean,Importance_Std
job_change,MLP,city,0.12912058391719564,0.01113433360358893
job_change,MLP,city_development_index,0.1259044113839598,0.007651529465016282
job_change,MLP,company_size,0.038052381556722484,0.0027446090562362182
job_change,MLP,enrolled_university,0.009020163341661136,0.0019317767765078464
job_change,MLP,relevent_experience,0.008950078123339523,0.005568818614691367
job_change,MLP,education_level,0.005226000881198933,0.003918652040035947
job_change,MLP,experience,0.002496857025550958,0.003951517642222789
job_change,MLP,company_type,0.0022505925244028723,0.0019373423546956833
job_change,MLP,gender,0.0019700012004324695,0.001288511086839459
job_change,MLP,training_hours,-0.004100460242021398,0.001804972470841457
job_change,MLP,major_discipline,-0.004224294521944172,0.0021061570592815423
job_change,MLP,last_new_job,-0.004305423840695499,0.0044055940589197325
