Tree_Index,Depth,Leaves
0,20,766
1,20,579
2,20,712
3,20,716
4,20,604
5,20,791
6,20,729
7,20,724
8,20,719
9,20,656
10,20,733
11,20,650
12,20,515
13,20,682
14,20,694
15,20,605
16,20,866
17,20,702
18,20,739
19,20,774
20,20,768
21,20,744
22,20,775
23,20,780
24,20,533
25,20,713
26,20,623
27,20,683
28,20,725
29,20,640
30,20,696
31,20,663
32,20,605
33,20,612
34,20,683
35,20,653
36,20,581
37,20,647
38,20,623
39,20,579
40,20,592
41,20,638
42,20,751
43,20,568
44,20,683
45,20,647
46,20,752
47,20,771
48,20,732
49,20,763
50,20,690
51,20,691
52,20,765
53,20,753
54,20,685
55,20,640
56,20,611
57,20,634
58,20,791
59,20,813
60,20,624
61,20,583
62,20,553
63,20,536
64,20,627
65,20,675
66,20,623
67,20,753
68,20,718
69,20,614
70,20,573
71,20,513
72,20,675
73,20,578
74,20,713
75,20,636
76,20,630
77,20,663
78,20,716
79,20,868
80,20,604
81,20,711
82,20,681
83,20,762
84,20,585
85,20,738
86,20,725
87,20,695
88,20,676
89,20,738
90,20,689
91,20,843
92,20,711
93,20,684
94,20,631
95,20,678
96,20,639
97,20,666
98,20,556
99,20,808
100,20,614
101,20,609
102,20,635
103,20,584
104,20,638
105,20,522
106,20,688
107,20,614
108,20,709
109,20,704
110,20,621
111,20,768
112,20,556
113,20,506
114,20,691
115,20,729
116,20,660
117,20,574
118,20,813
119,20,701
120,20,723
121,20,567
122,20,716
123,20,679
124,20,601
125,20,750
126,20,620
127,20,761
128,20,562
129,20,627
130,20,678
131,20,696
132,20,626
133,20,538
134,20,733
135,20,683
136,20,679
137,20,698
138,20,487
139,20,659
140,20,763
141,20,609
142,20,671
143,20,655
144,20,581
145,20,757
146,20,620
147,20,584
148,20,665
149,20,684
150,20,714
151,20,507
152,20,707
153,20,714
154,20,710
155,20,597
156,20,734
157,20,628
158,20,671
159,20,660
160,20,736
161,20,766
162,20,698
163,20,761
164,20,587
165,20,748
166,20,777
167,20,693
168,20,616
169,20,556
170,20,633
171,20,642
172,20,616
173,20,693
174,20,762
175,20,613
176,20,598
177,20,708
178,20,659
179,20,707
180,20,605
181,20,753
182,20,674
183,20,553
184,20,713
185,20,774
186,20,508
187,20,709
188,20,566
189,20,742
190,20,586
191,20,664
192,20,650
193,20,571
194,20,708
195,20,666
196,20,724
197,20,726
198,20,735
199,20,709
