Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0,Value_1,Positive_Probability
job_change,Random Forest,0,0,1,702,cat__education_level_Graduate,0.5,0.4999544958931348,9689,15399.63702971714,False,0.49523008873125235,0.5047699112685908,0.50476991126867
job_change,Random Forest,0,1,2,579,cat__last_new_job_>4,0.5,0.49134967410548314,3593,5305.2312285616035,False,0.5657659710431359,0.4342340289568914,0.4342340289568795
job_change,Random Forest,0,2,3,318,cat__company_size_50-99,0.5,0.49476914588886745,2986,4493.620830995147,False,0.5511412461283024,0.4488587538717217,0.4488587538717109
job_change,Random Forest,0,3,4,259,cat__city_city_103,0.5,0.46170180036689856,1413,1962.7242587657636,False,0.6383802724977412,0.36161972750226334,0.36161972750226173
job_change,Random Forest,0,4,5,258,cat__city_city_138,0.5,0.4705786619980119,1202,1704.7253848955822,False,0.6212875467679673,0.3787124532320372,0.37871245323203556
job_change,Random Forest,0,5,6,53,num__city_development_index,0.6245000064373016,0.47236327413528,1189,1688.072481557613,False,0.617551533092335,0.38244846690766987,0.382448466907668
job_change,Random Forest,0,6,7,52,cat__major_discipline_Business Degree,0.5,0.3163276444422525,199,476.87187770422224,False,0.19695515549860618,0.8030448445013936,0.8030448445013938
job_change,Random Forest,0,7,8,51,cat__city_city_126,0.5,0.3065897399790527,197,472.2090647695905,False,0.18902551549930371,0.8109744845006962,0.8109744845006963
job_change,Random Forest,0,8,9,46,cat__company_type_Early Stage Startup,0.5,0.30082304953917105,194,469.5446002355156,False,0.18442358258194477,0.815576417418055,0.8155764174180552
job_change,Random Forest,0,9,10,45,cat__city_city_74,0.5,0.27682619857740753,177,437.51142045830875,False,0.16595374465308485,0.8340462553469152,0.8340462553469152
job_change,Random Forest,0,10,11,42,cat__experience_3,0.5,0.2699453865528251,175,434.8469559242335,False,0.1608432416660588,0.8391567583339413,0.8391567583339413
job_change,Random Forest,0,11,12,41,cat__city_city_128,0.5,0.28243846766295266,159,391.4169508715008,False,0.1701807067976106,0.8298192932023896,0.8298192932023893
job_change,Random Forest,0,12,13,20,num__training_hours,17.5,0.28881967046999557,155,376.7160362031836,False,0.17505359708868573,0.8249464029113143,0.8249464029113143
job_change,Random Forest,0,13,14,19,cat__company_type_Public Sector,0.5,0.14161469823007478,26,78.17400909491856,False,0.07668847064488947,0.9233115293551105,0.9233115293551105
job_change,Random Forest,0,14,15,18,cat__experience_9,0.5,0.10196303486104907,24,74.1706894751053,False,0.05388512402131721,0.9461148759786827,0.9461148759786828
