Dataset,Model_A,Model_B,b01,b10,statistic,p_value,method
ibm,Random Forest,Decision Tree,31,17,3.5208333333333335,0.06060196971200623,continuity-corrected chi-square
ibm,Random Forest,Linear SVM,52,28,6.6125,0.010126539818322088,continuity-corrected chi-square
ibm,Random Forest,MLP,8,21,4.9655172413793105,0.02585758046344289,continuity-corrected chi-square
ibm,Decision Tree,Linear SVM,36,26,1.3064516129032258,0.2530381164947516,continuity-corrected chi-square
ibm,Decision Tree,MLP,14,41,12.290909090909091,0.0004551699698851153,continuity-corrected chi-square
ibm,Linear SVM,MLP,12,49,21.24590163934426,4.039732062360006e-06,continuity-corrected chi-square
job_change,Random Forest,Decision Tree,140,84,13.504464285714286,0.00023799657954257477,continuity-corrected chi-square
job_change,Random Forest,Linear SVM,204,134,14.085798816568047,0.0001746574974674216,continuity-corrected chi-square
job_change,Random Forest,MLP,203,286,13.750511247443763,0.00020876399257525817,continuity-corrected chi-square
job_change,Decision Tree,Linear SVM,197,183,0.44473684210526315,0.5048449995952482,continuity-corrected chi-square
job_change,Decision Tree,MLP,222,361,32.66552315608919,1.0946169811353216e-08,continuity-corrected chi-square
job_change,Linear SVM,MLP,181,334,44.8621359223301,2.11406549720777e-11,continuity-corrected chi-square
promotion,Random Forest,Decision Tree,2355,440,1310.696243291592,5.355319190257279e-287,continuity-corrected chi-square
promotion,Random Forest,Linear SVM,2142,443,1115.3593810444875,1.515765013657294e-244,continuity-corrected chi-square
promotion,Random Forest,MLP,133,458,177.62436548223351,1.600060406296942e-40,continuity-corrected chi-square
promotion,Decision Tree,Linear SVM,528,744,36.340408805031444,1.656926007992022e-09,continuity-corrected chi-square
promotion,Decision Tree,MLP,518,2758,1530.2567155067154,0.0,continuity-corrected chi-square
promotion,Linear SVM,MLP,468,2492,1382.6111486486486,1.2620607208256682e-302,continuity-corrected chi-square
