Dataset,Model,Feature,Importance_Mean,Importance_Std
promotion,Decision Tree,avg_training_score,0.16907855678536945,0.0014092377609532145
promotion,Decision Tree,department,0.12489539950494026,0.002362588248029271
promotion,Decision Tree,KPIs_met >80%,0.12053601578243997,0.002918281037878967
promotion,Decision Tree,previous_year_rating,0.019977713158771403,0.001973806299441477
promotion,Decision Tree,education,0.0020076403669197274,0.0006512585832737873
promotion,Decision Tree,age,0.0012860448343233633,0.0016583085169305028
promotion,Decision Tree,awards_won?,0.0011966173824866644,0.0004701075809146029
promotion,Decision Tree,gender,0.0008134007332256555,0.0004421013253833405
promotion,Decision Tree,length_of_service,0.00035278699201288786,0.000811095726864433
promotion,Decision Tree,recruitment_channel,-1.6214723674101707e-05,0.00028172031767817853
promotion,Decision Tree,region,-0.00033106296880547337,0.001543245553139267
promotion,Decision Tree,no_of_trainings,-0.0003443758701876853,0.0013837128059589956
