Transformed_Feature,Coefficient,Absolute_Coefficient
cat__department_R&D,-1.7971620687094514,1.7971620687094514
cat__department_Analytics,-1.6959189567887043,1.6959189567887043
cat__department_Sales & Marketing,1.6223293862938886,1.6223293862938886
cat__department_HR,1.4542755614293668,1.4542755614293668
num__avg_training_score,1.3450366731227825,1.3450366731227825
cat__department_Technology,-1.1761177467878146,1.1761177467878146
cat__department_Operations,0.6020867549346609,0.6020867549346609
cat__department_Finance,0.49242270806929483,0.49242270806929483
cat__department_Legal,0.48198710408443424,0.48198710408443424
num__KPIs_met >80%,0.45437147008533824,0.45437147008533824
cat__region_region_9,-0.422526017656631,0.422526017656631
cat__department_Procurement,-0.33616018541887915,0.33616018541887915
cat__region_region_34,-0.25026031296225676,0.25026031296225676
cat__region_region_25,0.2252442158103028,0.2252442158103028
cat__region_region_4,0.21540217431895,0.21540217431895
cat__region_region_32,-0.19876352124836974,0.19876352124836974
cat__region_region_22,0.18355491947740832,0.18355491947740832
cat__region_region_6,-0.17921448657987238,0.17921448657987238
cat__gender_f,-0.17826812203655903,0.17826812203655903
cat__gender_m,-0.17398932085670918,0.17398932085670918
cat__region_region_5,-0.16965222701607138,0.16965222701607138
cat__region_region_23,0.16650713506406625,0.16650713506406625
cat__education_Below Secondary,-0.16125021656238325,0.16125021656238325
cat__region_region_7,0.15682553001678906,0.15682553001678906
cat__region_region_17,0.14696705059409898,0.14696705059409898
cat__education_Bachelor's,-0.12671747141160308,0.12671747141160308
cat__region_region_28,0.12470932722058085,0.12470932722058085
cat__recruitment_channel_referred,-0.1235472692151735,0.1235472692151735
cat__recruitment_channel_sourcing,-0.12131168696570227,0.12131168696570227
num__previous_year_rating,0.11926301811319684,0.11926301811319684
cat__region_region_11,-0.1142662385746893,0.1142662385746893
cat__recruitment_channel_other,-0.10739848671121693,0.10739848671121693
cat__region_region_29,-0.0988431232972835,0.0988431232972835
num__age,-0.09732809445443381,0.09732809445443381
cat__region_region_20,-0.08733377649485312,0.08733377649485312
cat__region_region_31,-0.0817539661512621,0.0817539661512621
cat__region_region_33,-0.08068495315831234,0.08068495315831234
num__awards_won?,0.07988933802282217,0.07988933802282217
cat__region_region_12,-0.07982840404032274,0.07982840404032274
cat__region_region_8,-0.07817799954338898,0.07817799954338898
cat__region_region_21,-0.07408082089951247,0.07408082089951247
cat__region_region_30,0.07129309857387033,0.07129309857387033
cat__education_Master's & above,-0.06428975492267829,0.06428975492267829
cat__region_region_10,0.06109567276016481,0.06109567276016481
cat__region_region_24,-0.05948613020931094,0.05948613020931094
cat__region_region_2,0.05919640979400466,0.05919640979400466
cat__region_region_14,0.0589800791282942,0.0589800791282942
cat__region_region_13,0.050624040135696685,0.050624040135696685
cat__region_region_18,0.04735971894699806,0.04735971894699806
num__length_of_service,0.04639646370913831,0.04639646370913831
cat__region_region_3,0.03637421849256065,0.03637421849256065
cat__region_region_15,0.03564418597161582,0.03564418597161582
cat__region_region_16,-0.030871102574912556,0.030871102574912556
cat__region_region_19,-0.026936930139585383,0.026936930139585383
cat__region_region_1,0.02676068410467922,0.02676068410467922
num__no_of_trainings,-0.025611257680500467,0.025611257680500467
cat__region_region_27,0.015913223756946412,0.015913223756946412
cat__region_region_26,-0.0020291165143594366,0.0020291165143594366
