Dataset,Model,Feature,Importance_Mean,Importance_Std
promotion,Linear SVM,avg_training_score,0.20874398994319718,0.003901208413220997
promotion,Linear SVM,department,0.13783843136472154,0.004254304221390243
promotion,Linear SVM,KPIs_met >80%,0.10668925495747791,0.0043518106353337615
promotion,Linear SVM,region,0.007239440280440402,0.0031862004372027602
promotion,Linear SVM,awards_won?,0.005850216652210005,0.0004830787816079042
promotion,Linear SVM,length_of_service,0.005167291441590949,0.0014101495312325994
promotion,Linear SVM,education,0.001872053756137293,0.0010901199681286145
promotion,Linear SVM,previous_year_rating,0.0008083152614759004,0.0013184110939500884
promotion,Linear SVM,no_of_trainings,0.0006497785008336421,0.0012614568168130297
promotion,Linear SVM,age,0.0003433393077328595,0.00098557080042695
promotion,Linear SVM,recruitment_channel,0.00025627533712289095,0.0003799613178559056
promotion,Linear SVM,gender,2.84993532994271e-05,0.00022535904305069502
