Dataset,Model,Feature,Importance_Mean,Importance_Std
promotion,MLP,avg_training_score,0.3854182415316888,0.004827744028916265
promotion,MLP,department,0.2890516263700678,0.006287912069015065
promotion,MLP,awards_won?,0.012122628810072322,0.001901372690780344
promotion,MLP,previous_year_rating,0.0073519150672701535,0.004367520838565824
promotion,MLP,KPIs_met >80%,0.007281635998468139,0.003811922594773482
promotion,MLP,no_of_trainings,0.0003140654445243474,0.0010434009490619721
promotion,MLP,length_of_service,0.00025975440899106417,0.002135457149109713
promotion,MLP,age,0.0001600998789220487,0.0007345835898101401
promotion,MLP,gender,-0.00015597103251823173,0.001263442923467768
promotion,MLP,education,-0.00031533186596013343,0.001567307767283812
promotion,MLP,region,-0.0015449886344846675,0.00443118085908093
promotion,MLP,recruitment_channel,-0.003938687192266021,0.0018594848268367937
