Tree_Index,Depth,Leaves
0,51,2721
1,48,2205
2,54,2667
3,46,2628
4,45,2427
5,47,2678
6,54,2622
7,47,2609
8,46,2597
9,56,2387
10,42,2491
11,48,2772
12,53,2457
13,52,2762
14,47,2456
15,46,2445
16,42,2669
17,45,2641
18,43,2741
19,46,2522
20,49,2699
21,55,2701
22,48,2471
23,46,2448
24,55,2485
25,51,2569
26,52,2431
27,48,2491
28,52,2654
29,52,2573
30,52,2555
31,46,2754
32,46,2510
33,46,2592
34,40,2429
35,48,2836
36,49,2738
37,46,2611
38,45,2732
39,52,2532
40,47,2630
41,46,2312
42,44,2472
43,52,2400
44,47,2725
45,47,2620
46,49,2725
47,51,2399
48,53,2760
49,50,2610
50,46,2551
51,49,2430
52,48,2807
53,52,2653
54,51,2378
55,41,2442
56,44,2455
57,50,2633
58,58,2687
59,47,2669
60,49,2397
61,46,2554
62,44,2541
63,51,2629
64,47,2499
65,47,2641
66,51,2277
67,47,2761
68,44,2575
69,48,2859
70,47,2557
71,53,2537
72,52,2490
73,45,2371
74,53,2675
75,47,2720
76,45,2640
77,50,2546
78,47,2615
79,49,2811
80,49,2526
81,58,2574
82,49,2357
83,46,2732
84,51,2432
85,45,2527
86,45,2564
87,55,2821
88,43,2654
89,46,2610
90,58,2551
91,44,2343
92,47,2416
93,48,2674
94,50,2474
95,56,2441
96,50,2238
97,45,2516
98,54,2628
99,48,2771
100,42,2475
101,45,2784
102,45,2489
103,48,2596
104,44,2649
105,44,2731
106,52,2743
107,48,2658
108,53,2384
109,46,2810
110,47,2811
111,52,2749
112,53,2276
113,47,2691
114,49,2780
115,42,2453
116,53,2687
117,48,2702
118,45,2419
119,56,2498
120,46,2529
121,43,2393
122,50,2449
123,47,2413
124,46,2694
125,43,2215
126,49,2828
127,47,2522
128,48,2947
129,57,2478
130,49,2619
131,50,2690
132,43,2472
133,55,2623
134,49,2739
135,48,2569
136,54,2551
137,59,2481
138,47,2763
139,46,2715
140,51,2538
141,48,2540
142,57,2763
143,48,2727
144,39,2358
145,42,2956
146,48,2578
147,48,2599
148,45,2747
149,49,2588
150,54,2653
151,50,2616
152,49,2424
153,45,2112
154,41,2356
155,44,2507
156,43,2327
157,49,2895
158,50,2594
159,48,2602
160,48,2598
161,54,2578
162,47,2729
163,46,2505
164,50,2670
165,48,2364
166,44,2361
167,45,2722
168,46,2499
169,49,2378
170,46,2636
171,48,2628
172,46,2770
173,45,2500
174,52,2493
175,52,2675
176,49,2512
177,47,2412
178,60,2564
179,50,2735
180,56,2651
181,46,2639
182,56,2196
183,42,2725
184,51,2771
185,47,2403
186,45,2521
187,54,2611
188,45,2508
189,48,2514
190,53,2713
191,51,2683
192,53,2445
193,47,2562
194,46,2413
195,44,2586
196,52,2458
197,43,2634
198,51,2745
199,46,2241
200,50,2480
201,47,2378
202,46,2389
203,46,2599
204,46,2503
205,46,2640
206,45,2598
207,46,2505
208,52,2440
209,51,2514
210,53,2652
211,49,2794
212,45,2666
213,49,2884
214,42,2414
215,48,2578
216,45,2636
217,48,2626
218,47,2745
219,46,2611
220,50,2362
221,53,2504
222,46,2569
223,43,2516
224,52,2671
225,43,2277
226,51,2534
227,46,2912
228,51,2745
229,45,2542
230,49,2471
231,44,2654
232,48,2539
233,52,2385
234,49,2416
235,51,2488
236,48,2535
237,46,2475
238,43,2803
239,53,2732
240,41,2684
241,48,2486
242,50,2377
243,50,2574
244,50,2469
245,49,2706
246,49,2646
247,53,2674
248,42,2677
249,39,2468
250,43,2552
251,46,2483
252,49,2710
253,47,2633
254,50,2405
255,52,2490
256,47,2552
257,55,2697
258,49,2727
259,42,2345
260,48,2601
261,46,2275
262,49,2484
263,50,2655
264,50,2495
265,41,2415
266,51,2415
267,52,2517
268,44,2585
269,44,2316
270,50,2668
271,47,2477
272,54,2735
273,43,2623
274,41,2817
275,47,2587
276,45,2487
277,55,2579
278,42,2453
279,52,2530
280,51,2605
281,47,2367
282,46,2567
283,42,2553
284,50,2887
285,50,2484
286,51,2827
287,42,2527
288,46,2447
289,48,2489
290,40,2480
291,41,2644
292,46,2220
293,49,2435
294,43,2513
295,51,2582
296,51,2687
297,46,2403
298,49,2656
299,51,2565
300,41,2481
301,49,2505
302,47,2479
303,48,2543
304,52,2745
305,51,2538
306,47,2635
307,45,2411
308,47,2542
309,41,2382
310,45,2513
311,47,2615
312,49,2681
313,43,2597
314,48,2555
315,51,2741
316,51,2554
317,57,2661
318,50,2640
319,39,2362
320,47,2601
321,54,2461
322,47,2232
323,44,2811
324,40,2646
325,48,2706
326,52,2552
327,48,2767
328,49,2653
329,44,2546
330,49,2705
331,49,2558
332,48,2613
333,48,2419
334,46,2592
335,44,2572
336,44,2769
