Dataset,Model,Feature,Importance_Mean,Importance_Std
promotion,Random Forest,avg_training_score,0.30263386341714144,0.002683763390170001
promotion,Random Forest,department,0.2110072610951459,0.0094868305896679
promotion,Random Forest,KPIs_met >80%,0.04662512874105038,0.0043013092932718145
promotion,Random Forest,previous_year_rating,0.04412665187015199,0.004158959735255132
promotion,Random Forest,awards_won?,0.029175798930432196,0.004272461234642637
promotion,Random Forest,recruitment_channel,0.006998480102289528,0.003896174366008309
promotion,Random Forest,gender,0.0019658025691534965,0.002192407260894497
promotion,Random Forest,region,0.0018612043916090171,0.005599762360374735
promotion,Random Forest,no_of_trainings,0.0018311016746832998,0.003116054772762529
promotion,Random Forest,education,-0.0031857222908516338,0.0038166467067617966
promotion,Random Forest,length_of_service,-0.003500440935179772,0.0052623488727016245
promotion,Random Forest,age,-0.009672683073385124,0.0034491659226555302
