Dataset,Cluster,Feature,Cluster_Mean,Overall_Mean,Standardized_Difference,Direction
ghrm,0,GPA,3.968013468013468,3.455729166666667,0.5914520695282003,higher
ghrm,0,GEE,3.9255050505050506,3.42734375,0.5722564260729394,higher
ghrm,0,GCM,3.9545454545454546,3.453125,0.5709620029615734,higher
ghrm,0,GTD,3.9313131313131313,3.4662499999999996,0.5562100901561045,higher
ghrm,0,GRS,3.9166666666666665,3.4421875,0.5331663404735386,higher
ghrm,1,GPA,2.6243169398907105,3.455729166666667,-0.9598976210375719,lower
ghrm,1,GEE,2.6188524590163933,3.42734375,-0.928744035757721,lower
ghrm,1,GCM,2.639344262295082,3.453125,-0.9266432507081271,lower
ghrm,1,GTD,2.7114754098360656,3.4662499999999996,-0.9027016217287583,lower
ghrm,1,GRS,2.6721311475409837,3.4421875,-0.8653027492931207,lower
