Dataset,Cluster,Feature,Most_Common_Value,Count,Share,Is_Target
ghrm,0,Gender,Male,116,0.5858585858585859,False
ghrm,0,Age,30- 39years,56,0.2828282828282828,False
ghrm,0,Educational level,Bachelor Degree,91,0.4595959595959596,False
ghrm,0,Position Level in Organization,General Worker,82,0.41414141414141414,False
ghrm,0,Years of Service,1-3years,62,0.31313131313131315,False
ghrm,1,Gender,Male,62,0.5081967213114754,False
ghrm,1,Age,30- 39years,31,0.2540983606557377,False
ghrm,1,Educational level,Bachelor Degree,51,0.4180327868852459,False
ghrm,1,Position Level in Organization,General Worker,39,0.319672131147541,False
ghrm,1,Years of Service,3-5yaers,39,0.319672131147541,False
