Dataset,Cluster,Feature,Mean,Median,Std,Is_Target
ghrm,0,GRS,3.9166666666666665,4.0,0.5864372340170978,False
ghrm,0,GTD,3.9313131313131313,4.0,0.5549310954887993,False
ghrm,0,GPA,3.968013468013468,4.0,0.49995869410700294,False
ghrm,0,GCM,3.9545454545454546,4.0,0.527617521688232,False
ghrm,0,GEE,3.9255050505050506,4.0,0.5335861792009435,False
ghrm,0,FEP,3.851010101010101,4.0,0.5471652743558416,True
ghrm,1,GRS,2.6721311475409837,2.75,0.7538345276351242,False
ghrm,1,GTD,2.7114754098360656,2.8,0.6474612495263793,False
ghrm,1,GPA,2.6243169398907105,2.8333333333333335,0.6713203536138564,False
ghrm,1,GCM,2.639344262295082,2.75,0.712237468182143,False
ghrm,1,GEE,2.6188524590163933,2.75,0.6895119806357133,False
ghrm,1,FEP,3.040983606557377,3.0,0.7037096624213941,True
