Dataset,Column,Dtype,Missing_Count,Missing_Percent,Distinct_Count
ibm,Age,int64,0,0.0,43
ibm,Attrition,object,0,0.0,2
ibm,BusinessTravel,object,0,0.0,3
ibm,DailyRate,int64,0,0.0,886
ibm,Department,object,0,0.0,3
ibm,DistanceFromHome,int64,0,0.0,29
ibm,Education,int64,0,0.0,5
ibm,EducationField,object,0,0.0,6
ibm,EmployeeCount,int64,0,0.0,1
ibm,EmployeeNumber,int64,0,0.0,1470
ibm,EnvironmentSatisfaction,int64,0,0.0,4
ibm,Gender,object,0,0.0,2
ibm,HourlyRate,int64,0,0.0,71
ibm,JobInvolvement,int64,0,0.0,4
ibm,JobLevel,int64,0,0.0,5
ibm,JobRole,object,0,0.0,9
ibm,JobSatisfaction,int64,0,0.0,4
ibm,MaritalStatus,object,0,0.0,3
ibm,MonthlyIncome,int64,0,0.0,1349
ibm,MonthlyRate,int64,0,0.0,1427
ibm,NumCompaniesWorked,int64,0,0.0,10
ibm,Over18,object,0,0.0,1
ibm,OverTime,object,0,0.0,2
ibm,PercentSalaryHike,int64,0,0.0,15
ibm,PerformanceRating,int64,0,0.0,2
ibm,RelationshipSatisfaction,int64,0,0.0,4
ibm,StandardHours,int64,0,0.0,1
ibm,StockOptionLevel,int64,0,0.0,4
ibm,TotalWorkingYears,int64,0,0.0,40
ibm,TrainingTimesLastYear,int64,0,0.0,7
ibm,WorkLifeBalance,int64,0,0.0,4
ibm,YearsAtCompany,int64,0,0.0,37
ibm,YearsInCurrentRole,int64,0,0.0,19
ibm,YearsSinceLastPromotion,int64,0,0.0,16
ibm,YearsWithCurrManager,int64,0,0.0,18
job_change,enrollee_id,int64,0,0.0,19158
job_change,city,object,0,0.0,123
job_change,city_development_index,float64,0,0.0,93
job_change,gender,object,4508,23.530639941538784,3
job_change,relevent_experience,object,0,0.0,2
job_change,enrolled_university,object,386,2.0148240943731075,3
job_change,education_level,object,460,2.401085708320284,5
job_change,major_discipline,object,2813,14.68316108153252,6
job_change,experience,object,65,0.33928385008873574,22
job_change,company_size,object,5938,30.994884643490973,8
job_change,company_type,object,6140,32.04927445453596,6
job_change,last_new_job,object,423,2.207954901346696,6
job_change,training_hours,int64,0,0.0,241
job_change,target,float64,0,0.0,2
promotion,employee_id,int64,0,0.0,54808
promotion,department,object,0,0.0,9
promotion,region,object,0,0.0,34
promotion,education,object,2409,4.395343745438622,3
promotion,gender,object,0,0.0,2
promotion,recruitment_channel,object,0,0.0,3
promotion,no_of_trainings,int64,0,0.0,10
promotion,age,int64,0,0.0,41
promotion,previous_year_rating,float64,4124,7.524448985549554,5
promotion,length_of_service,int64,0,0.0,35
promotion,KPIs_met >80%,int64,0,0.0,2
promotion,awards_won?,int64,0,0.0,2
promotion,avg_training_score,int64,0,0.0,61
promotion,is_promoted,int64,0,0.0,2
ghrm,Timestamp,object,0,0.0,320
ghrm,Gender,object,0,0.0,2
ghrm,Age,object,0,0.0,8
ghrm,Educational level,object,0,0.0,7
ghrm,Position Level in Organization,object,0,0.0,4
ghrm,Years of Service,object,0,0.0,4
ghrm,GRS1,int64,0,0.0,5
ghrm,GRS2,int64,0,0.0,5
ghrm,GRS3,int64,0,0.0,5
ghrm,GRS4,int64,0,0.0,5
ghrm,GTD1,int64,0,0.0,5
ghrm,GTD2,int64,0,0.0,5
ghrm,GDT3,int64,0,0.0,5
ghrm,GTD4,int64,0,0.0,5
ghrm,GTD5,int64,0,0.0,5
ghrm,GPA1,int64,0,0.0,5
ghrm,GPA2,int64,0,0.0,5
ghrm,GPA3,int64,0,0.0,5
ghrm,GPA4,int64,0,0.0,5
ghrm,GPA5,int64,0,0.0,5
ghrm,GPA6,int64,0,0.0,5
ghrm,GCM1,int64,0,0.0,5
ghrm,GCM2,int64,0,0.0,5
ghrm,GCM3,int64,0,0.0,5
ghrm,GCM4,int64,0,0.0,5
ghrm,FEP1,int64,0,0.0,5
ghrm,FEP5,int64,0,0.0,5
ghrm,FEP7,int64,0,0.0,5
ghrm,FEP9,int64,0,0.0,5
ghrm,GEE1,int64,0,0.0,5
ghrm,GEE4,int64,0,0.0,5
ghrm,GEE5,int64,0,0.0,5
ghrm,GEE6,int64,0,0.0,5
