Fold,R2,RMSE,MAE
1,0.4221554098909236,0.4935961011929536,0.383051871201466
2,0.2521118167905979,0.5602428208332141,0.4484859359580283
3,0.5390724625983763,0.529872802630078,0.43450297815107597
4,0.2911714277023142,0.6216256370638364,0.4504922510162601
5,0.4779637301046382,0.569967323773935,0.45863968930375176
6,0.45235550064631624,0.5094190321900948,0.4122226333715304
7,0.1861411089188535,0.560303229476652,0.4345358725999216
8,0.567760356099795,0.5269176526472138,0.4269355736382391
9,0.2597906440678801,0.5867291651800984,0.41271509098101267
10,0.48057624717635716,0.5705502016407988,0.44175285683574556
11,0.5600007739644315,0.4968923741781397,0.38984052427881544
12,0.40636867400716725,0.5671924792895655,0.45174641388793657
13,0.09484538890112082,0.5873191576227382,0.4727802579365079
14,0.2426692302790534,0.6581865017292874,0.5183771925345724
15,0.22759313954148475,0.6487328037724783,0.4250968295514637
16,0.31527186495237947,0.6055384775814571,0.498458247481685
17,0.3313663482339453,0.633946565039506,0.49449277935606056
18,0.5365696749564539,0.4885927809808525,0.38239169094946235
19,0.47543173180962606,0.5404183921708529,0.4478460992132867
20,0.32976226561632305,0.5241550948754901,0.4088187644009217
21,0.3136208272721236,0.5936380240313623,0.4340131428595074
22,0.4574943710459861,0.5110643717427132,0.39219552954415965
23,0.2235825532297938,0.6155652088853376,0.4917338195658509
24,0.5989925225344724,0.5153664653454801,0.42713949461996337
25,0.16702929101159092,0.6106156709603012,0.43555297657733993
