Fold,R2,RMSE,MAE
1,0.4306779001433487,0.489942615235437,0.3826840872187464
2,0.2972185029455019,0.543085395167742,0.4177134919978476
3,0.6086674960007035,0.48823427210967285,0.3799208741533062
4,0.43365353544427065,0.5556475535660292,0.40954553621543954
5,0.5228170276020129,0.5449317198274434,0.4227911006673574
6,0.45789045982630516,0.5068381844557324,0.39730238286562414
7,0.336669209291804,0.5058405581246765,0.3932623578279145
8,0.5901425454140304,0.5130939210612434,0.402674754738636
9,0.35433926824346074,0.5479773132084311,0.39380840104343695
10,0.5247963087855184,0.5457237604248865,0.4135453330286542
11,0.6331286139301742,0.45372561256665966,0.3507723330460196
12,0.4059204701513711,0.5674065598798631,0.44460935067781626
13,0.25778345207335707,0.5318364508419402,0.41441396871084735
14,0.5706151499137926,0.49559798154799745,0.37403570841298783
15,0.4070376591871221,0.5684029899736811,0.43230090015668754
16,0.3837412100132611,0.5744658566226369,0.4567694281565801
17,0.38895003219775826,0.6060338753992055,0.4593640620331737
18,0.6454811899432561,0.4273409025825216,0.31729550793157696
19,0.4981319481462624,0.5285960190377714,0.4231763662231225
20,0.569476838507432,0.42009124873319165,0.31679946872154335
21,0.5004413744711613,0.5064457061647978,0.4002830959530178
22,0.5666610531164866,0.45675924150558134,0.3490200507598763
23,0.3770152873528062,0.5513979128951718,0.43438247034701694
24,0.6031038387301184,0.5127177699284164,0.3933804356030043
25,0.2687795751600298,0.5721069687636166,0.4277606231443907
