Tree_Index,Depth,Leaves
0,10,59
1,10,58
2,10,57
3,10,60
4,10,54
5,10,53
6,10,63
7,10,60
8,10,58
9,10,60
10,10,64
11,10,59
12,10,53
13,10,54
14,10,62
15,10,57
16,10,58
17,10,56
18,10,49
19,10,60
20,10,59
21,10,48
22,10,65
23,10,57
24,10,57
25,10,58
26,10,63
27,10,62
28,10,66
29,10,53
30,10,50
31,10,57
32,10,53
33,10,62
34,10,48
35,10,48
36,10,56
37,10,63
38,10,55
39,10,56
40,10,55
41,10,58
42,10,57
43,10,58
44,10,61
45,10,63
46,10,60
47,10,61
48,10,55
49,10,47
50,10,57
51,10,55
52,10,52
53,10,48
54,10,53
55,10,47
56,10,54
57,10,62
58,10,59
59,10,58
60,10,56
61,10,63
62,10,60
63,10,59
64,10,56
65,10,66
66,10,50
67,10,58
68,10,54
69,10,54
70,10,61
71,10,60
72,10,52
73,10,65
74,10,61
75,10,54
76,10,64
77,10,64
78,10,56
79,10,54
80,10,60
81,10,54
82,10,65
83,10,60
84,10,50
85,10,53
86,10,54
87,10,50
88,10,54
89,10,61
90,10,56
91,10,64
92,10,60
93,10,60
94,10,55
95,10,54
96,10,48
97,10,54
98,10,55
99,10,52
100,10,55
101,10,63
102,10,61
103,10,61
104,10,60
105,10,58
106,10,65
107,10,56
108,10,58
109,10,58
110,10,60
111,10,57
112,10,61
113,10,51
114,10,61
115,10,65
116,10,52
117,10,64
118,10,53
119,10,69
120,10,59
121,10,59
122,10,52
123,10,56
124,10,46
125,10,64
126,10,61
127,10,65
128,10,60
129,10,54
130,10,65
131,10,63
132,10,50
133,10,58
134,10,46
135,10,58
136,10,60
137,10,56
138,10,55
139,10,56
140,10,61
141,10,55
142,10,54
143,10,43
144,10,50
145,10,54
146,10,63
147,10,62
148,10,63
149,10,58
150,10,62
151,10,52
152,10,49
153,10,63
154,10,54
155,10,61
156,10,51
157,10,60
158,10,49
159,10,53
160,10,62
161,10,57
162,10,55
163,10,61
164,10,58
165,10,60
166,10,57
167,10,58
168,10,50
169,10,64
170,10,56
171,10,50
172,10,49
173,10,57
174,10,65
175,10,58
176,10,57
177,10,54
178,10,51
179,10,61
180,9,63
181,10,55
182,10,44
183,10,58
184,10,56
185,10,61
186,10,49
187,10,65
188,10,60
189,10,51
190,10,48
191,10,65
192,10,53
193,10,58
194,10,63
195,10,59
196,10,58
197,10,56
198,10,61
199,10,54
200,10,55
201,10,46
202,10,56
203,10,59
204,10,64
205,10,53
206,10,56
207,10,62
208,10,43
209,10,52
210,10,49
211,10,47
212,10,60
213,10,64
214,10,62
215,10,54
216,10,58
217,10,65
218,9,65
219,10,58
220,10,55
221,10,56
222,10,65
223,10,63
224,10,59
225,10,59
226,10,60
227,10,60
228,10,57
229,10,52
230,10,63
231,10,61
232,10,49
233,10,58
234,10,53
235,10,55
236,10,52
237,10,64
238,10,63
239,10,60
240,10,41
241,10,61
242,10,41
243,10,53
244,10,64
245,10,54
246,10,52
247,10,57
248,10,61
249,10,50
250,10,59
251,10,64
252,10,58
253,9,61
254,10,55
255,10,56
256,10,63
257,10,51
258,10,56
259,10,55
260,10,60
261,10,61
262,10,57
263,10,60
264,10,55
265,10,52
266,10,59
267,10,63
268,10,51
269,10,56
270,10,58
271,10,61
272,10,54
273,10,56
274,10,60
275,10,57
276,10,62
277,10,62
278,10,55
279,10,62
280,10,51
281,10,55
282,10,52
283,10,68
284,10,57
285,10,61
286,10,53
287,10,45
288,10,51
289,10,61
290,10,56
291,10,68
292,10,59
293,10,55
294,10,56
295,10,61
296,10,56
297,10,55
298,10,47
299,10,53
300,10,55
301,10,54
302,10,56
303,10,52
304,10,58
305,10,54
306,10,58
307,10,51
308,10,56
309,10,52
310,10,62
311,10,58
312,10,51
313,10,61
314,10,58
315,10,47
316,10,60
317,10,55
318,10,59
319,10,59
320,10,52
321,10,43
322,10,50
323,10,46
324,10,59
325,10,54
326,10,53
327,10,51
328,10,48
329,10,49
330,10,54
331,10,55
332,10,58
333,10,59
334,10,65
335,10,61
336,10,59
337,10,48
338,10,58
339,10,51
340,10,59
341,10,58
342,10,59
343,10,61
344,10,58
345,10,62
346,10,59
347,10,50
348,10,63
349,10,65
350,10,53
351,10,62
352,10,49
353,10,57
354,10,51
355,10,56
356,10,58
357,10,61
358,10,49
359,10,59
360,10,56
361,10,54
362,10,45
363,10,54
364,10,61
365,10,62
366,9,59
367,10,62
368,10,59
369,10,52
370,10,61
371,10,64
372,10,47
373,10,66
374,10,50
375,10,65
376,10,54
377,10,55
378,10,58
379,10,54
380,10,58
381,10,60
382,10,56
383,10,60
384,10,64
385,10,47
386,10,50
387,10,63
388,10,51
389,10,59
390,10,49
391,10,63
392,10,61
393,10,62
394,10,61
395,10,58
396,10,63
397,10,62
398,10,49
399,10,57
