Fold,R2,RMSE,MAE
1,0.37669134591231634,0.5126462361891138,0.3950756100421156
2,0.2582272549456237,0.557947582722199,0.4425970868227077
3,0.6011934044679703,0.49287463341182747,0.4033932705922766
4,0.40932563447572123,0.5674562339151344,0.4155919335880954
5,0.5273024114446414,0.5423645715960254,0.4331800361077607
6,0.41704219223835814,0.5255866955244352,0.40998820197357044
7,0.22771641609969473,0.5458043230169981,0.4275747869610512
8,0.5848743377809957,0.5163809839928688,0.4144892556282779
9,0.3189253451326568,0.5628047460850949,0.4079172938039599
10,0.5653837477486627,0.5218983713725349,0.4201687292228649
11,0.6280392406926654,0.45686189643284947,0.36408358291999854
12,0.43351386143707105,0.5540726359045078,0.4477294130769932
13,0.22099559476427433,0.5448572573241536,0.4171578942149954
14,0.42878805997282454,0.5716165688878064,0.4381610388853363
15,0.2818829298839759,0.6255188805540165,0.4676150774927644
16,0.3817478600594656,0.575394189822803,0.4645905149392602
17,0.24931229908266195,0.67171985884656,0.4965340979319651
18,0.5045383751158674,0.505195918001059,0.3894676775015593
19,0.5270202169343859,0.5131571706107128,0.4308571212001189
20,0.44197302749215284,0.47826981233278437,0.3824134883275865
21,0.4031760319779323,0.5535575649580337,0.43795103497143884
22,0.5032403636701885,0.4890425322507158,0.3752592212968855
23,0.2650672202258886,0.5988943725114562,0.49401822624349706
24,0.6259870014841309,0.4977179095340882,0.3973037358356953
25,0.20035542435111442,0.5982759964157587,0.4368952760515766
