Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0
ghrm,Random Forest Regressor,0,0,1,10,numeric__GCM,-1.549320101737976,0.5791015625,164,256.0,False,3.5
ghrm,Random Forest Regressor,0,1,2,3,numeric__GRS,-2.034475266933441,0.46707589285714324,14,28.0,False,2.1875
ghrm,Random Forest Regressor,0,2,-1,-1,leaf,,0.2916666666666665,4,9.0,True,1.5
ghrm,Random Forest Regressor,0,3,4,9,numeric__GRS,-0.6199568659067154,0.22022160664819967,10,19.0,False,2.513157894736842
ghrm,Random Forest Regressor,0,4,5,8,numeric__GTD,-1.245860517024994,0.18036332179930703,8,17.0,False,2.4411764705882355
ghrm,Random Forest Regressor,0,5,6,7,numeric__GPA,-1.6458388566970825,0.09375,5,12.0,False,2.25
ghrm,Random Forest Regressor,0,6,-1,-1,leaf,,0.09375,3,8.0,True,2.375
ghrm,Random Forest Regressor,0,7,-1,-1,leaf,,0.0,2,4.0,True,2.0
ghrm,Random Forest Regressor,0,8,-1,-1,leaf,,0.08999999999999986,3,5.0,True,2.9
ghrm,Random Forest Regressor,0,9,-1,-1,leaf,,0.140625,2,2.0,True,3.125
ghrm,Random Forest Regressor,0,10,11,84,numeric__GCM,0.4538412392139435,0.3553244748384117,150,228.0,False,3.661184210526316
ghrm,Random Forest Regressor,0,11,12,57,numeric__GRS,0.22875413671135902,0.3177764565992849,97,145.0,False,3.4655172413793105
ghrm,Random Forest Regressor,0,12,13,28,numeric__GTD,-0.893050491809845,0.2650173010380623,59,85.0,False,3.2705882352941176
ghrm,Random Forest Regressor,0,13,14,27,numeric__GCM,0.16767533775418997,0.3483999999999998,18,25.0,False,3.04
ghrm,Random Forest Regressor,0,14,15,18,numeric__GTD,-1.3634638786315918,0.28215392561983244,16,22.0,False,3.147727272727273
ghrm,Random Forest Regressor,0,15,16,17,numeric__GTD,-1.5986705422401428,0.328125,4,6.0,False,3.375
ghrm,Random Forest Regressor,0,16,-1,-1,leaf,,0.125,2,3.0,True,3.25
ghrm,Random Forest Regressor,0,17,-1,-1,leaf,,0.5,2,3.0,True,3.5
ghrm,Random Forest Regressor,0,18,19,22,numeric__GTD,-1.1282572150230408,0.23828125,12,16.0,False,3.0625
ghrm,Random Forest Regressor,0,19,20,21,numeric__GPA,-0.757363498210907,0.22499999999999964,4,5.0,False,2.75
ghrm,Random Forest Regressor,0,20,-1,-1,leaf,,0.34722222222222143,2,3.0,True,2.8333333333333335
ghrm,Random Forest Regressor,0,21,-1,-1,leaf,,0.015625,2,2.0,True,2.625
ghrm,Random Forest Regressor,0,22,23,26,numeric__GRS,-0.05414953455328941,0.17975206611570194,8,11.0,False,3.2045454545454546
ghrm,Random Forest Regressor,0,23,24,25,numeric__GCM,-0.9769883155822754,0.0458984375,6,8.0,False,3.34375
ghrm,Random Forest Regressor,0,24,-1,-1,leaf,,0.0625,2,2.0,True,3.5
ghrm,Random Forest Regressor,0,25,-1,-1,leaf,,0.02951388888889106,4,6.0,True,3.2916666666666665
ghrm,Random Forest Regressor,0,26,-1,-1,leaf,,0.34722222222222143,2,3.0,True,2.8333333333333335
ghrm,Random Forest Regressor,0,27,-1,-1,leaf,,0.125,2,3.0,True,2.25
ghrm,Random Forest Regressor,0,28,29,32,numeric__GCM,-0.9769883155822754,0.198888888888888,41,60.0,False,3.3666666666666667
ghrm,Random Forest Regressor,0,29,30,31,numeric__GPA,-0.2637661099433899,0.030612244897961105,5,7.0,False,2.9285714285714284
ghrm,Random Forest Regressor,0,30,-1,-1,leaf,,0.01171875,3,4.0,True,3.0625
ghrm,Random Forest Regressor,0,31,-1,-1,leaf,,0.0,2,3.0,True,2.75
ghrm,Random Forest Regressor,0,32,33,52,numeric__GCM,0.16767533775418997,0.1924172303310776,36,53.0,False,3.4245283018867925
ghrm,Random Forest Regressor,0,33,34,47,numeric__GRS,-0.05414953455328941,0.17592155009451815,30,46.0,False,3.369565217391304
ghrm,Random Forest Regressor,0,34,35,42,numeric__GPA,0.13111181184649467,0.18749999999999822,24,36.0,False,3.3333333333333335
ghrm,Random Forest Regressor,0,35,36,39,numeric__GRS,-0.9028605222702026,0.14876109467455834,18,26.0,False,3.4134615384615383
ghrm,Random Forest Regressor,0,36,37,38,numeric__GTD,-0.5402404069900513,0.1708984375,5,8.0,False,3.59375
ghrm,Random Forest Regressor,0,37,-1,-1,leaf,,0.015000000000000568,3,5.0,True,3.9
ghrm,Random Forest Regressor,0,38,-1,-1,leaf,,0.013888888888889284,2,3.0,True,3.0833333333333335
ghrm,Random Forest Regressor,0,39,40,41,numeric__GPA,-0.16504662856459618,0.11805555555555358,13,18.0,False,3.3333333333333335
ghrm,Random Forest Regressor,0,40,-1,-1,leaf,,0.0625,11,16.0,True,3.25
ghrm,Random Forest Regressor,0,41,-1,-1,leaf,,0.0625,2,2.0,True,4.0
ghrm,Random Forest Regressor,0,42,43,44,numeric__GTD,0.047776371240615845,0.22812500000000036,6,10.0,False,3.125
ghrm,Random Forest Regressor,0,43,-1,-1,leaf,,0.125,2,3.0,True,3.25
ghrm,Random Forest Regressor,0,44,45,46,numeric__GCM,-0.11849057022482157,0.2627551020408152,4,7.0,False,3.0714285714285716
ghrm,Random Forest Regressor,0,45,-1,-1,leaf,,0.765625,2,2.0,True,3.125
ghrm,Random Forest Regressor,0,46,-1,-1,leaf,,0.060000000000002274,2,5.0,True,3.05
ghrm,Random Forest Regressor,0,47,48,49,numeric__GTD,-0.06982698291540146,0.11250000000000071,6,10.0,False,3.5
ghrm,Random Forest Regressor,0,48,-1,-1,leaf,,0.0625,2,2.0,True,3.0
ghrm,Random Forest Regressor,0,49,50,51,numeric__GCM,-0.11849057022482157,0.046875,4,8.0,False,3.625
ghrm,Random Forest Regressor,0,50,-1,-1,leaf,,0.0,2,2.0,True,3.25
ghrm,Random Forest Regressor,0,51,-1,-1,leaf,,0.0,2,6.0,True,3.75
ghrm,Random Forest Regressor,0,52,53,56,numeric__GPA,0.13111181557178497,0.15051020408163396,6,7.0,False,3.7857142857142856
ghrm,Random Forest Regressor,0,53,54,55,numeric__GPA,-0.46120506525039673,0.203125,4,4.0,False,3.625
ghrm,Random Forest Regressor,0,54,-1,-1,leaf,,0.140625,2,2.0,True,3.875
ghrm,Random Forest Regressor,0,55,-1,-1,leaf,,0.140625,2,2.0,True,3.375
ghrm,Random Forest Regressor,0,56,-1,-1,leaf,,0.0,2,3.0,True,4.0
ghrm,Random Forest Regressor,0,57,58,83,numeric__GTD,0.9886031746864319,0.2624305555555555,38,60.0,False,3.7416666666666667
ghrm,Random Forest Regressor,0,58,59,80,numeric__GPA,0.7234286963939667,0.23285123966942223,34,55.0,False,3.6818181818181817
ghrm,Random Forest Regressor,0,59,60,69,numeric__GPA,0.2298312969505787,0.2214083175803374,29,46.0,False,3.597826086956522
ghrm,Random Forest Regressor,0,60,61,62,numeric__GTD,-0.7754471302032471,0.0956994328922498,15,23.0,False,3.8369565217391304
ghrm,Random Forest Regressor,0,61,-1,-1,leaf,,0.01171875,2,4.0,True,4.1875
ghrm,Random Forest Regressor,0,62,63,64,numeric__GCM,-0.8339053690433502,0.08206371191135808,13,19.0,False,3.763157894736842
ghrm,Random Forest Regressor,0,63,-1,-1,leaf,,0.040000000000000924,3,5.0,True,3.65
ghrm,Random Forest Regressor,0,64,65,68,numeric__GRS,0.794561505317688,0.09088010204081698,10,14.0,False,3.8035714285714284
ghrm,Random Forest Regressor,0,65,66,67,numeric__GTD,-0.18743033707141876,0.09852430555555536,8,12.0,False,3.7708333333333335
ghrm,Random Forest Regressor,0,66,-1,-1,leaf,,0.2638888888888875,3,3.0,True,3.5833333333333335
ghrm,Random Forest Regressor,0,67,-1,-1,leaf,,0.027777777777775015,5,9.0,True,3.8333333333333335
ghrm,Random Forest Regressor,0,68,-1,-1,leaf,,0.0,2,2.0,True,4.0
ghrm,Random Forest Regressor,0,69,70,73,numeric__GTD,0.04777636379003525,0.23275047258979065,14,23.0,False,3.358695652173913
ghrm,Random Forest Regressor,0,70,71,72,numeric__GRS,0.5116578191518784,0.25,4,8.0,False,3.0
ghrm,Random Forest Regressor,0,71,-1,-1,leaf,,0.0,2,2.0,True,3.5
ghrm,Random Forest Regressor,0,72,-1,-1,leaf,,0.22222222222222143,2,6.0,True,2.8333333333333335
ghrm,Random Forest Regressor,0,73,74,75,numeric__GCM,0.16767533775418997,0.11833333333333407,10,15.0,False,3.55
ghrm,Random Forest Regressor,0,74,-1,-1,leaf,,0.013888888888889284,3,3.0,True,3.4166666666666665
ghrm,Random Forest Regressor,0,75,76,77,numeric__GPA,0.5259897261857986,0.1388888888888875,7,12.0,False,3.5833333333333335
ghrm,Random Forest Regressor,0,76,-1,-1,leaf,,0.04296875,3,4.0,True,3.6875
ghrm,Random Forest Regressor,0,77,78,79,numeric__GRS,0.5116578191518784,0.1787109375,4,8.0,False,3.53125
ghrm,Random Forest Regressor,0,78,-1,-1,leaf,,0.015625,2,4.0,True,3.875
ghrm,Random Forest Regressor,0,79,-1,-1,leaf,,0.10546875,2,4.0,True,3.1875
ghrm,Random Forest Regressor,0,80,81,82,numeric__GRS,0.794561505317688,0.07098765432099086,5,9.0,False,4.111111111111111
ghrm,Random Forest Regressor,0,81,-1,-1,leaf,,0.015625,2,4.0,True,4.375
ghrm,Random Forest Regressor,0,82,-1,-1,leaf,,0.015000000000000568,3,5.0,True,3.9
