Fold,R2,RMSE,MAE
1,0.36915067803551427,0.5157378614723008,0.40527075970430226
2,0.14084177142985788,0.6004744614352517,0.47436110519024605
3,0.5247570807242604,0.538038221532927,0.42739486743852556
4,0.28059365900332056,0.626246685633475,0.47938889189307715
5,0.43718959088813425,0.5918077932523307,0.44558122079002027
6,0.2869664836759741,0.5812738340606897,0.46913096668956045
7,0.2212425067154642,0.5480872366618232,0.4100440791847042
8,0.48740378916849114,0.5738100438986151,0.452944639250391
9,0.19215579686910578,0.61294879856599,0.44086922192390937
10,0.49803899706349575,0.560877411157013,0.44365008090182845
11,0.4344277958067355,0.5633527310477592,0.45396033174610473
12,0.33770681746467224,0.5990970769422763,0.47252745829724735
13,0.129256419420117,0.5760470061325467,0.4478215555119852
14,0.4712132999186186,0.5499794115222039,0.4204493537347156
15,0.08954264146750301,0.704324187439235,0.48415322965696544
16,0.32304140067005804,0.602093186722373,0.4811616233031675
17,0.3384766295946624,0.6305668473728112,0.4932064319845799
18,0.48508068257204906,0.5150203787769718,0.3841037420283712
19,0.4137956068665235,0.5712860869615507,0.4807016585388296
20,0.39053350722373614,0.4998276659482761,0.3961278305028305
21,0.3049093688303349,0.5973933444111424,0.46331577493686876
22,0.4376233908018775,0.5203398719664681,0.4108647250672847
23,0.2633823226432819,0.5995804883180398,0.4836698457792208
24,0.6026598923051353,0.5130044388712639,0.4104520804716117
25,0.051695616045104864,0.6515188120390292,0.44436285477186216
