Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0
ghrm,Decision Tree Regressor,,0,1,4,numeric__GRS,-1.4686678647994995,0.5514793395996094,256,256.0,False,3.556640625
ghrm,Decision Tree Regressor,,1,2,3,numeric__GTD,-1.5986705422401428,0.7641776937618143,23,23.0,False,2.3369565217391304
ghrm,Decision Tree Regressor,,2,-1,-1,leaf,,0.4839409722222223,12,12.0,True,1.9791666666666667
ghrm,Decision Tree Regressor,,3,-1,-1,leaf,,0.7778925619834727,11,11.0,True,2.727272727272727
ghrm,Decision Tree Regressor,,4,5,18,numeric__GRS,0.22875413671135902,0.36914015730626737,233,233.0,False,3.677038626609442
ghrm,Decision Tree Regressor,,5,6,11,numeric__GCM,-0.4046564847230911,0.30096327042055115,113,113.0,False,3.3827433628318584
ghrm,Decision Tree Regressor,,6,7,8,numeric__GCM,-0.9769883155822754,0.2753515413737162,43,43.0,False,3.0813953488372094
ghrm,Decision Tree Regressor,,7,-1,-1,leaf,,0.20501730103806182,17,17.0,True,2.9705882352941178
ghrm,Decision Tree Regressor,,8,9,10,numeric__GEE,-0.3625919744372368,0.3080621301775146,26,26.0,False,3.1538461538461537
ghrm,Decision Tree Regressor,,9,-1,-1,leaf,,0.3427734375,16,16.0,True,3.21875
ghrm,Decision Tree Regressor,,10,-1,-1,leaf,,0.2350000000000012,10,10.0,True,3.05
ghrm,Decision Tree Regressor,,11,12,15,numeric__GCM,0.4538412392139435,0.2266454081632645,70,70.0,False,3.567857142857143
ghrm,Decision Tree Regressor,,12,13,14,numeric__GTD,0.04777636379003525,0.24819214876033158,44,44.0,False,3.4318181818181817
ghrm,Decision Tree Regressor,,13,-1,-1,leaf,,0.21550094517958485,23,23.0,True,3.2065217391304346
ghrm,Decision Tree Regressor,,14,-1,-1,leaf,,0.16751700680272386,21,21.0,True,3.6785714285714284
ghrm,Decision Tree Regressor,,15,16,17,numeric__GTD,-0.18743033707141876,0.10586168639053462,26,26.0,False,3.798076923076923
ghrm,Decision Tree Regressor,,16,-1,-1,leaf,,0.1256250000000012,10,10.0,True,3.675
ghrm,Decision Tree Regressor,,17,-1,-1,leaf,,0.078125,16,16.0,True,3.875
ghrm,Decision Tree Regressor,,18,19,24,numeric__GPA,1.1183066368103027,0.27498263888888985,120,120.0,False,3.9541666666666666
ghrm,Decision Tree Regressor,,19,20,23,numeric__GEE,1.083257645368576,0.21824848549261233,97,97.0,False,3.827319587628866
ghrm,Decision Tree Regressor,,20,21,22,numeric__GPA,0.5259897261857986,0.19802201070791092,82,82.0,False,3.7621951219512195
ghrm,Decision Tree Regressor,,21,-1,-1,leaf,,0.2096222486615087,41,41.0,True,3.658536585365854
ghrm,Decision Tree Regressor,,22,-1,-1,leaf,,0.16493158834027355,41,41.0,True,3.8658536585365852
ghrm,Decision Tree Regressor,,23,-1,-1,leaf,,0.17888888888888843,15,15.0,True,4.183333333333334
ghrm,Decision Tree Regressor,,24,25,26,numeric__GEE,1.083257645368576,0.16020793950850987,23,23.0,False,4.489130434782608
ghrm,Decision Tree Regressor,,25,-1,-1,leaf,,0.1456611570247901,11,11.0,True,4.545454545454546
ghrm,Decision Tree Regressor,,26,-1,-1,leaf,,0.16796875,12,12.0,True,4.4375
