Fold,R2,RMSE,MAE
1,0.4010450600305321,0.5025314776869487,0.3907664263543785
2,0.29551020588437427,0.5437450511818531,0.4096596807818349
3,0.6135177290182705,0.48519921460808496,0.3715938506018719
4,0.44346587582579633,0.5508130345213271,0.40536895698342545
5,0.5009393934014699,0.5572836023166926,0.4311163375975364
6,0.45668067569388315,0.5074034051729976,0.3951986599631605
7,0.35667701313129274,0.4981534063155334,0.39044612976228366
8,0.6045806504153475,0.5039754818616485,0.3820231366719577
9,0.36367489913322737,0.5440012769869004,0.39083106995812283
10,0.5011268333519194,0.5591496182614799,0.4243480002532489
11,0.6265379194485741,0.45778296906873805,0.34924504903949327
12,0.3826453643761214,0.5784148244023526,0.4560033525544416
13,0.20957792256408403,0.5488356508597939,0.4251840653998118
14,0.6029716354304147,0.4765592874344942,0.3487516275362332
15,0.40566795416960455,0.5690590985453122,0.43243555122974886
16,0.3474635081867796,0.5911328032097817,0.46261178620805077
17,0.40591696176972036,0.5975608195733099,0.45234550498315895
18,0.6414411309371951,0.4297689706267481,0.3207913464691152
19,0.5055445446762374,0.5246778127827914,0.4195664650288907
20,0.4764199626639727,0.4632729190564156,0.3398619015261715
21,0.4765794022757954,0.5184000883629811,0.4040559405867994
22,0.5737367624476324,0.4530148315570489,0.3384059863812846
23,0.4039228856526599,0.5393586486287831,0.42775436062248556
24,0.581009576143086,0.5267953938374357,0.39986664333242505
25,0.24358155272546433,0.5818809468103965,0.4298604288225941
