Fold,R2,RMSE,MAE
1,0.12680977409342153,0.6067651484279902,0.5060790989281961
2,0.08901449262018235,0.6183205752565749,0.4875969433940105
3,0.4585748800141076,0.5742810711003968,0.4479152654724799
4,0.3535180026048841,0.593658277261217,0.4373805470922205
5,0.47310968532519027,0.5726110532687461,0.44651966474508564
6,0.44841192496911275,0.5112498995693148,0.4082999264466148
7,0.3349449536164212,0.5064975699842159,0.38929609866718423
8,0.5325469726976607,0.5479607335706339,0.43307318429430813
9,-0.049959285856951974,0.6987899028993436,0.46786966207550823
10,0.4426619504641176,0.5910065676269396,0.4799532400852475
11,0.5858058204073971,0.4821013762445589,0.37257128192979977
12,0.24014345502469558,0.6417086044572,0.5044162487606096
13,0.2946145457342939,0.5184728663715623,0.406158223008127
14,0.4659263315989751,0.5527220029674554,0.41624020171906156
15,0.16305513307218522,0.675291406059047,0.4925501279410861
16,0.23061965732056633,0.6418790498966839,0.5155788648954254
17,0.17936686240837052,0.7023168089902916,0.466058295500275
18,0.5895271055980672,0.4598297474486784,0.340265354025194
19,0.47198263601954193,0.5421921373793454,0.4297282692516896
20,0.4881203967647664,0.45806729626572634,0.3339701615806905
21,0.5016661020002289,0.5058245191885076,0.417536243265616
22,0.3620170804818803,0.5542146570211433,0.42042781835070775
23,0.25336948625038036,0.6036417792876297,0.47947078476855187
24,0.6110430240530866,0.5075638732542499,0.3894430704673187
25,0.04983902534886864,0.6521562720800611,0.4500281223873539
