Tree_Index,Depth,Leaves
0,10,54
1,10,60
2,10,64
3,10,60
4,10,58
5,10,55
6,10,59
7,10,62
8,10,56
9,10,60
10,10,59
11,10,54
12,10,50
13,10,52
14,10,54
15,10,59
16,10,59
17,10,62
18,10,63
19,10,70
20,10,45
21,10,57
22,10,62
23,10,51
24,10,58
25,10,63
26,10,58
27,10,41
28,10,64
29,10,50
30,10,53
31,10,58
32,10,54
33,10,61
34,10,45
35,10,55
36,10,62
37,10,63
38,10,54
39,10,58
40,10,51
41,10,54
42,10,58
43,10,47
44,10,51
45,10,58
46,10,57
47,10,62
48,10,50
49,10,56
50,10,60
51,10,60
52,10,56
53,10,52
54,10,62
55,10,56
56,10,61
57,10,67
58,10,61
59,10,47
60,10,58
61,10,51
62,10,58
63,10,61
64,10,63
65,10,66
66,10,49
67,10,51
68,10,59
69,10,60
70,10,58
71,10,49
72,10,62
73,10,60
74,10,62
75,10,59
76,10,55
77,10,53
78,10,60
79,10,50
80,10,59
81,10,52
82,10,66
83,10,61
84,10,55
85,10,56
86,10,56
87,10,49
88,10,61
89,10,55
90,10,46
91,10,57
92,10,51
93,10,60
94,10,53
95,10,47
96,10,65
97,10,61
98,10,53
99,10,63
100,10,52
101,10,59
102,10,54
103,10,57
104,10,59
105,10,61
106,10,61
107,10,54
108,10,61
109,10,55
110,10,68
111,10,52
112,10,55
113,10,57
114,10,62
115,10,65
116,10,52
117,10,61
118,10,61
119,10,59
120,10,58
121,10,55
122,10,47
123,10,56
124,10,59
125,10,60
126,10,51
127,10,65
128,10,57
129,10,65
130,10,61
131,10,61
132,10,60
133,10,60
134,10,62
135,10,54
136,10,64
137,10,56
138,10,59
139,10,59
140,10,64
141,10,56
142,10,54
143,10,60
144,10,54
145,10,60
146,10,58
147,10,56
148,10,60
149,10,58
150,10,61
151,10,55
152,10,63
153,10,63
154,10,55
155,10,62
156,10,52
157,10,56
158,10,49
159,10,59
160,10,61
161,10,63
162,10,59
163,10,59
164,10,57
165,10,56
166,10,55
167,10,63
168,10,61
169,10,60
170,10,53
171,10,53
172,10,53
173,10,47
174,10,61
175,10,60
176,10,58
177,10,60
178,10,54
179,10,66
180,10,47
181,10,54
182,10,56
183,10,52
184,10,51
185,10,56
186,10,55
187,10,65
188,10,66
189,10,48
190,10,56
191,10,65
192,10,62
193,10,58
194,10,61
195,10,62
196,10,55
197,10,56
198,10,59
199,10,44
200,10,57
201,10,62
202,10,57
203,10,58
204,10,62
205,10,61
206,10,45
207,10,56
208,10,50
209,10,53
210,10,59
211,10,60
212,10,62
213,10,65
214,10,61
215,10,52
216,10,55
217,10,62
218,10,66
219,10,61
220,10,66
221,10,61
222,10,64
223,10,62
224,10,61
225,10,52
226,10,63
227,10,66
228,10,49
229,10,52
230,10,59
231,10,60
232,10,58
233,10,50
234,10,59
235,10,58
236,10,60
237,10,59
238,10,54
239,10,49
240,10,59
241,10,54
242,10,53
243,10,51
244,10,73
245,10,52
246,10,48
247,10,52
248,10,64
249,10,52
250,10,65
251,10,54
252,10,61
253,10,47
254,10,61
255,10,58
256,10,61
257,10,57
258,10,50
259,10,59
260,10,60
261,10,63
262,10,65
263,10,58
264,10,61
265,10,57
266,10,58
267,10,65
268,10,55
269,10,55
270,10,53
271,10,64
272,10,56
273,10,59
274,10,53
275,10,54
276,10,47
277,10,61
278,10,63
279,10,62
280,10,54
281,10,69
282,10,45
283,10,67
284,10,63
285,10,55
286,10,56
287,10,58
288,10,54
289,10,56
290,10,56
291,10,66
292,10,64
293,10,65
294,10,64
295,10,52
296,10,58
297,10,57
298,10,53
299,10,55
300,10,55
301,10,62
302,10,67
303,10,61
304,10,57
305,10,50
306,10,60
307,10,54
308,10,65
309,10,59
310,10,58
311,10,60
312,10,67
313,10,55
314,10,60
315,10,65
316,10,58
317,10,67
318,10,65
319,10,47
320,10,56
321,10,58
322,10,61
323,10,48
324,10,67
325,10,51
326,10,58
327,10,62
328,10,53
329,10,53
330,10,53
331,10,67
332,10,41
333,10,54
334,10,62
335,10,63
336,10,65
337,10,42
338,10,57
339,10,59
340,10,64
341,10,68
342,10,46
343,10,66
344,10,65
345,10,49
346,10,52
347,10,50
348,10,60
349,10,67
350,10,63
351,10,63
352,10,59
353,10,50
354,10,56
355,10,63
356,10,59
357,10,62
358,10,42
359,10,62
360,10,62
361,10,62
362,10,61
363,10,60
364,10,66
365,10,61
366,10,53
367,10,67
368,10,60
369,10,54
370,10,65
371,10,66
372,10,51
373,10,69
374,10,54
375,10,61
376,10,55
377,10,57
378,10,67
379,10,65
380,10,59
381,10,59
382,10,65
383,10,50
384,10,56
385,10,54
386,10,46
387,10,58
388,10,49
389,10,65
390,10,58
391,10,53
392,10,59
393,10,60
394,10,53
395,10,63
396,10,55
397,10,48
398,10,55
399,10,57
