Fold,R2,RMSE,MAE
1,0.4093372237450469,0.4990407337614829,0.38670923202224017
2,0.284604284025591,0.5479376362887669,0.43622552939022236
3,0.5944526295928385,0.4970225530631238,0.404980631893581
4,0.42254171201316093,0.5610720299009835,0.41848556283323574
5,0.5425668233762386,0.5335356569860119,0.4296719156578991
6,0.4341850323704505,0.5178011580149005,0.4064640277397663
7,0.25574905598997044,0.5358068562377387,0.42063797769042355
8,0.5779646279460886,0.5206607936829644,0.4225777919558884
9,0.32840840722847175,0.5588728563538793,0.3959428061548935
10,0.5785671749004093,0.5139219179996621,0.4209420253662736
11,0.5813624111927426,0.48468043117835036,0.39673303002937255
12,0.43118987079772764,0.5552080049705559,0.4539172830211181
13,0.22925440502816286,0.5419613411045062,0.4151492319573217
14,0.4631564653243423,0.5541534404677928,0.42097560069727336
15,0.27016427992567704,0.6306020166378027,0.47164729062436217
16,0.3937445393982896,0.569784314889445,0.46321191690520097
17,0.29598738814598435,0.6505021816107597,0.47926029032019846
18,0.5344407155816331,0.4897137717973209,0.3823617017998093
19,0.5028307299232851,0.5261156874998497,0.4412771303219799
20,0.44243024349363824,0.4780738384530447,0.3738292331077765
21,0.3884207433651897,0.560358592443051,0.4429052540835857
22,0.5157666952488704,0.4828372963316062,0.37737454421920835
23,0.30082950856965496,0.5841413746670953,0.4844289128066192
24,0.6417528895485899,0.4871147366410695,0.39152282253870985
25,0.22172338550258808,0.5902283577192861,0.43883826575236407
