Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0
ghrm,Random Forest Regressor,0,0,1,8,numeric__GRS,-1.4686678647994995,0.5791015625,164,256.0,False,3.5
ghrm,Random Forest Regressor,0,1,2,7,numeric__GEE,-1.230101764202118,0.5895061728395063,13,27.0,False,2.2777777777777777
ghrm,Random Forest Regressor,0,2,3,4,numeric__GPA,-2.43559467792511,0.4904687499999998,10,20.0,False,2.0125
ghrm,Random Forest Regressor,0,3,-1,-1,leaf,,0.2916666666666665,4,9.0,True,1.5
ghrm,Random Forest Regressor,0,4,5,6,numeric__GPA,-1.6458388566970825,0.26239669421487655,6,11.0,False,2.4318181818181817
ghrm,Random Forest Regressor,0,5,-1,-1,leaf,,0.09722222222222143,4,9.0,True,2.3333333333333335
ghrm,Random Forest Regressor,0,6,-1,-1,leaf,,0.765625,2,2.0,True,2.875
ghrm,Random Forest Regressor,0,7,-1,-1,leaf,,0.09693877551020513,3,7.0,True,3.0357142857142856
ghrm,Random Forest Regressor,0,8,9,70,numeric__GCM,0.4538412392139435,0.3809805305009455,151,229.0,False,3.6441048034934496
ghrm,Random Forest Regressor,0,9,10,11,numeric__GTD,-1.5986705422401428,0.3478636939388249,98,146.0,False,3.440068493150685
ghrm,Random Forest Regressor,0,10,-1,-1,leaf,,0.10546875,2,4.0,True,2.1875
ghrm,Random Forest Regressor,0,11,12,67,numeric__GTD,0.9886031746864319,0.3092516365800435,96,142.0,False,3.4753521126760565
ghrm,Random Forest Regressor,0,12,13,42,numeric__GRS,0.22875413671135902,0.28399888113378324,92,137.0,False,3.4416058394160585
ghrm,Random Forest Regressor,0,13,14,23,numeric__GCM,-0.9769883155822754,0.25364366448542697,58,82.0,False,3.2804878048780486
ghrm,Random Forest Regressor,0,14,15,18,numeric__GTD,-0.893050491809845,0.10946745562130111,11,13.0,False,3.076923076923077
ghrm,Random Forest Regressor,0,15,16,17,numeric__GPA,-0.8560829758644104,0.13671875,4,4.0,False,3.3125
ghrm,Random Forest Regressor,0,16,-1,-1,leaf,,0.140625,2,2.0,True,3.125
ghrm,Random Forest Regressor,0,17,-1,-1,leaf,,0.0625,2,2.0,True,3.5
ghrm,Random Forest Regressor,0,18,19,20,numeric__GTD,-0.6578437685966492,0.06172839506172778,7,9.0,False,2.9722222222222223
ghrm,Random Forest Regressor,0,19,-1,-1,leaf,,0.0,2,3.0,True,2.75
ghrm,Random Forest Regressor,0,20,21,22,numeric__GPA,-0.2637661099433899,0.05555555555555536,5,6.0,False,3.0833333333333335
ghrm,Random Forest Regressor,0,21,-1,-1,leaf,,0.01171875,3,4.0,True,3.0625
ghrm,Random Forest Regressor,0,22,-1,-1,leaf,,0.140625,2,2.0,True,3.125
ghrm,Random Forest Regressor,0,23,24,31,numeric__GTD,-0.893050491809845,0.2715290905271992,47,69.0,False,3.318840579710145
ghrm,Random Forest Regressor,0,24,25,30,numeric__GCM,0.16767533775418997,0.3858131487889285,12,17.0,False,3.014705882352941
ghrm,Random Forest Regressor,0,25,26,27,numeric__GRS,-1.185764193534851,0.2895408163265305,10,14.0,False,3.1785714285714284
ghrm,Random Forest Regressor,0,26,-1,-1,leaf,,0.3472222222222232,2,3.0,True,3.6666666666666665
ghrm,Random Forest Regressor,0,27,28,29,numeric__GPA,-0.6586440205574036,0.1911157024793404,8,11.0,False,3.0454545454545454
ghrm,Random Forest Regressor,0,28,-1,-1,leaf,,0.015000000000000568,3,5.0,True,3.35
ghrm,Random Forest Regressor,0,29,-1,-1,leaf,,0.19618055555555625,5,6.0,True,2.7916666666666665
ghrm,Random Forest Regressor,0,30,-1,-1,leaf,,0.125,2,3.0,True,2.25
