Dataset,Model,Feature,Importance_Mean,Importance_Std
ibm,Random Forest,OverTime,0.0777203011939636,0.0290056022694616
ibm,Random Forest,MonthlyIncome,0.0385451612311866,0.0260208270946903
ibm,Random Forest,YearsWithCurrManager,0.0286688944583681,0.0284017982270675
ibm,Random Forest,TrainingTimesLastYear,0.0224925083729948,0.0216351000314779
ibm,Random Forest,MaritalStatus,0.0147540983606557,0.0232438574002903
ibm,Random Forest,RelationshipSatisfaction,0.0145837005699512,0.0134187513242157
ibm,Random Forest,WorkLifeBalance,0.0141673067076292,0.013134728296868
ibm,Random Forest,PercentSalaryHike,0.0138457018626241,0.014376985292604
ibm,Random Forest,DailyRate,0.0133928571428571,0.0150388448901882
ibm,Random Forest,JobInvolvement,0.0101214608882509,0.032219790730461
ibm,Decision Tree,OverTime,0.1306673649939521,0.0282065925151097
ibm,Decision Tree,MonthlyIncome,0.0671332641554338,0.0226038510941558
ibm,Decision Tree,JobRole,0.049442346932698,0.0148345617164781
ibm,Decision Tree,HourlyRate,0.0280896737094012,0.0113284919803348
ibm,Decision Tree,YearsInCurrentRole,0.0226024442846872,0.01571876311207
ibm,Decision Tree,EnvironmentSatisfaction,0.0215510730849372,0.0194491939811076
ibm,Decision Tree,MaritalStatus,0.0178179532368598,0.0112174484132956
ibm,Decision Tree,Age,0.0169356214916962,0.0201976771226616
ibm,Decision Tree,DistanceFromHome,0.0081954171797232,0.0080256302327916
ibm,Decision Tree,NumCompaniesWorked,0.0027790528698744,0.03640123625193
ibm,Linear SVM,OverTime,0.1319246222486599,0.0254340884668261
ibm,Linear SVM,BusinessTravel,0.0141900368093758,0.0206803584251386
ibm,Linear SVM,NumCompaniesWorked,0.0122168131385978,0.0204681534751113
ibm,Linear SVM,JobSatisfaction,0.0044799356161846,0.0195917492404967
ibm,Linear SVM,StockOptionLevel,0.0041204855862219,0.0132454562473919
ibm,Linear SVM,JobInvolvement,0.003385458710536,0.0111878191047145
ibm,Linear SVM,MonthlyRate,0.0033666255190213,0.0
