Dataset,Model,Accuracy,Precision,Recall,F1
IBM HR Analytics,Random Forest,0.837,0.462,0.128,0.200
IBM HR Analytics,Decision Tree,0.772,0.321,0.383,0.350
IBM HR Analytics,LinearSVC,0.864,0.652,0.319,0.429
IBM HR Analytics,MLPClassifier,0.874,0.708,0.362,0.479
Job Change,Random Forest,0.776,0.569,0.419,0.483
Job Change,Decision Tree,0.785,0.585,0.477,0.526
Job Change,LinearSVC,0.778,0.586,0.377,0.459
Job Change,MLPClassifier,0.785,0.584,0.476,0.525
Employee Promotion,Random Forest,0.933,0.803,0.279,0.415
Employee Promotion,Decision Tree,0.937,0.774,0.374,0.504
Employee Promotion,LinearSVC,0.933,0.951,0.228,0.368
Employee Promotion,MLPClassifier,0.942,0.932,0.350,0.509
