dataset,model,n_test,accuracy,precision,recall,f1
IBM Attrition,Decision Tree,294,0.7483,0.3291,0.5532,0.4127
IBM Attrition,Random Forest,294,0.8435,0.5556,0.1064,0.1786
IBM Attrition,LinearSVC,294,0.7517,0.3488,0.6383,0.4511
IBM Attrition,MLPClassifier,294,0.8776,0.7200,0.3830,0.5000
Job Change,Decision Tree,3832,0.7116,0.4545,0.7853,0.5758
Job Change,Random Forest,3832,0.7630,0.5176,0.7257,0.6042
Job Change,LinearSVC,3832,0.7437,0.4906,0.7361,0.5888
Job Change,MLPClassifier,3832,0.7850,0.5841,0.4764,0.5248
Employee Promotion,Decision Tree,10962,0.8982,0.4113,0.4518,0.4306
Employee Promotion,Random Forest,10962,0.9350,0.8323,0.2976,0.4385
Employee Promotion,LinearSVC,10962,0.7584,0.2387,0.8383,0.3716
Employee Promotion,MLPClassifier,10962,0.9414,0.9011,0.3512,0.5054
