Dataset,Variable,Missing_Count,Missing_Percent,Method
Job Change,نوع شرکت,6140,32.05,جایگذاری با مد
Job Change,اندازه شرکت,5938,30.99,جایگذاری با مد
Job Change,جنسیت,4508,23.53,جایگذاری با مد
Job Change,رشته تخصصی,2813,14.68,جایگذاری با مد
Job Change,سطح تحصیلات,460,2.40,جایگذاری با مد
Job Change,آخرین تغییر شغل,423,2.21,جایگذاری با مد
Job Change,ثبت‌نام دانشگاهی,386,2.01,جایگذاری با مد
Job Change,سابقه کاری,65,0.34,جایگذاری با مد
Employee Promotion,سطح تحصیلات,2409,4.40,جایگذاری با مد
Employee Promotion,ارزیابی عملکرد سال قبل,4124,7.52,جایگذاری با میانه
