Dataset,Variant,Model,Depth,Leaves,Number_of_Trees,Mean_Forest_Depth,Iterations,Architecture
ibm,classification,Random Forest,,,200.0,14.33,,null
ibm,classification,Decision Tree,8.0,58.0,,,,null
ibm,classification,Linear SVM,,,,,6.0,null
ibm,classification,MLP,,,,,15.0,"[51, 50, 1]"
job_change,classification,Random Forest,,,200.0,20.0,,null
job_change,classification,Decision Tree,8.0,116.0,,,,null
job_change,classification,Linear SVM,,,,,7.0,null
job_change,classification,MLP,,,,,14.0,"[185, 50, 50, 1]"
promotion,classification,Random Forest,,,400.0,48.14,,null
promotion,classification,Decision Tree,12.0,299.0,,,,null
promotion,classification,Linear SVM,,,,,7.0,null
promotion,classification,MLP,,,,,33.0,"[58, 50, 50, 1]"
ghrm,Base,Random Forest Regressor,,,400.0,9.99,,null
ghrm,Base,Decision Tree Regressor,3.0,7.0,,,,null
ghrm,Base,LinearSVR,,,,,365.0,null
ghrm,Base,MLPRegressor,,,,,145.0,"[4, 50, 25, 1]"
ghrm,GEE+,Random Forest Regressor,,,400.0,10.0,,null
ghrm,GEE+,Decision Tree Regressor,5.0,14.0,,,,null
ghrm,GEE+,LinearSVR,,,,,895.0,null
ghrm,GEE+,MLPRegressor,,,,,80.0,"[5, 20, 1]"
