Variant,Dataset,Model,Feature,Importance_Mean,Importance_Std
Base,ghrm,Base Random Forest Regressor,GRS,0.0855637437785026,0.0318643369198751
Base,ghrm,Base Random Forest Regressor,GCM,0.0273383876215016,0.0154413085346552
Base,ghrm,Base Random Forest Regressor,GTD,-0.0009607922114323,0.0105758214463907
Base,ghrm,Base Random Forest Regressor,GPA,-0.0199411313302512,0.0158289586491392
Base,ghrm,Base Decision Tree Regressor,GRS,0.2102627122385035,0.0286705995170549
Base,ghrm,Base Decision Tree Regressor,GCM,0.0594631364912217,0.0233176440796191
Base,ghrm,Base Decision Tree Regressor,GPA,0.0057413054124211,0.0182657019714411
Base,ghrm,Base Decision Tree Regressor,GTD,-0.0194755363906035,0.0040551204085556
Base,ghrm,Base LinearSVR,GCM,0.0848219112860458,0.0169544558414381
Base,ghrm,Base LinearSVR,GRS,0.0766241118188215,0.0220345742298264
Base,ghrm,Base LinearSVR,GTD,0.002998744210422,0.0109565188925078
Base,ghrm,Base LinearSVR,GPA,-0.0007359973878223,0.0005269665710279
Base,ghrm,Base MLPRegressor,GCM,0.1949201426662737,0.0151642896726577
Base,ghrm,Base MLPRegressor,GRS,0.1939239446011122,0.0283775551406553
Base,ghrm,Base MLPRegressor,GPA,0.1372439371111546,0.0320587984384263
Base,ghrm,Base MLPRegressor,GTD,0.1343770872395777,0.0183878271079082
GEE+,ghrm,GEE+ Random Forest Regressor,GRS,0.0510210493319239,0.0258465793642316
GEE+,ghrm,GEE+ Random Forest Regressor,GCM,0.0199299018554182,0.0110509780181464
GEE+,ghrm,GEE+ Random Forest Regressor,GEE,-0.0033955555798623,0.0073909443780304
GEE+,ghrm,GEE+ Random Forest Regressor,GPA,-0.0091448488179509,0.0129604345176797
GEE+,ghrm,GEE+ Random Forest Regressor,GTD,-0.0152199922243714,0.0085833808826475
GEE+,ghrm,GEE+ Decision Tree Regressor,GRS,0.1453060901761773,0.0359341703540359
GEE+,ghrm,GEE+ Decision Tree Regressor,GCM,0.0672349843967113,0.0318899971967911
GEE+,ghrm,GEE+ Decision Tree Regressor,GPA,0.0261057550871719,0.0203383570165137
GEE+,ghrm,GEE+ Decision Tree Regressor,GEE,0.0090367115013811,0.0024771208816113
GEE+,ghrm,GEE+ Decision Tree Regressor,GTD,-0.0400753866259119,0.0062028286421457
GEE+,ghrm,GEE+ LinearSVR,GCM,0.0659729874257905,0.0177706976875555
GEE+,ghrm,GEE+ LinearSVR,GRS,0.0523868722490027,0.0231682475758298
GEE+,ghrm,GEE+ LinearSVR,GPA,0.0078773693758739,0.0021733620597996
GEE+,ghrm,GEE+ LinearSVR,GTD,-0.0013048540417416,0.0133111355929334
GEE+,ghrm,GEE+ LinearSVR,GEE,-0.0029422893507846,0.0104326348492318
GEE+,ghrm,GEE+ MLPRegressor,GTD,0.2413062987082326,0.0265460474606728
GEE+,ghrm,GEE+ MLPRegressor,GCM,0.1542397222405872,0.0230218221645107
GEE+,ghrm,GEE+ MLPRegressor,GRS,0.0739805019613682,0.0143667938465138
GEE+,ghrm,GEE+ MLPRegressor,GPA,0.0481822741262134,0.0239337216028432
GEE+,ghrm,GEE+ MLPRegressor,GEE,0.0454797272839932,0.0119428537502211
